,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,2 Round 14 C0M kiNgg Round 20 kiNgg C0M,,,,,,,,,35,1,0
JonahP G2,,5 Round 4 Mazino tex Round 15 tex kiNgg Round 16 aspas Mazino Round 19 Mazino tex Round 22 aspas Mazino,1 Round 21 aspas Mazino tex,,,,,,,,64,1,2
leaf G2,,6 Round 6 Mazino tex Round 8 tex Mazino Round 11 aspas kiNgg Round 12 kiNgg aspas Round 13 Mazino C0M Round 18 Mazino tex,1 Round 7 Mazino aspas kiNgg,,,,,1 Round 7 kiNgg Mazino aspas,,,96,0,0
icy G2,,6 Round 7 tex C0M Round 11 tex C0M Round 12 C0M tex Round 17 aspas Mazino Round 20 aspas Mazino Round 22 kiNgg tex,,,,1 Round 11 C0M,,,,,53,1,3
trent G2,,1 Round 4 C0M kiNgg,,,,1 Round 12 Mazino,,,,,37,8,2
C0M LEV,,2 Round 5 trent JonahP Round 18 JonahP leaf,1 Round 8 valyn leaf JonahP,,,1 Round 18 leaf,1 Round 8 JonahP leaf,,,,60,0,2
tex LEV,,3 Round 8 trent icy Round 18 valyn trent Round 19 leaf valyn,,,,,,,,,46,4,1
Mazino LEV,,1 Round 11 leaf JonahP,1 Round 1 icy trent valyn,1 Round 12 JonahP valyn leaf icy,,,,,,,70,4,2
aspas LEV,,,2 Round 3 valyn leaf icy Round 9 JonahP icy trent,,,1 Round 4 JonahP,,,,,33,0,2
kiNgg LEV,,4 Round 4 icy leaf Round 7 JonahP icy Round 9 valyn leaf Round 22 leaf trent,1 Round 2 JonahP valyn trent,,,,,,,,39,0,0
