Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
valyn,G2,Map_1_1Lotus,All,Omen,1.24,222,23,19,15,+4,75%,135,26%,1,3,-2
leaf,G2,Map_1_1Lotus,All,Killjoy,0.92,202,16,21,6,-5,68%,138,16%,3,3,0
icy,G2,Map_1_1Lotus,All,Raze,0.78,171,16,22,6,-6,61%,124,15%,6,6,0
JonahP,G2,Map_1_1Lotus,All,Viper,0.68,157,15,24,4,-9,54%,98,18%,0,2,-2
trent,G2,Map_1_1Lotus,All,Fade,0.61,148,12,22,15,-10,75%,98,14%,1,3,-2
Mazino,LEV,Map_1_1Lotus,All,Breach,1.74,325,34,15,13,+19,86%,201,33%,4,1,+3
aspas,LEV,Map_1_1Lotus,All,Neon,1.42,303,27,18,10,+9,82%,203,17%,5,3,+2
tex,LEV,Map_1_1Lotus,All,Cypher,0.96,181,19,18,3,+1,75%,127,39%,2,2,0
kiNgg,LEV,Map_1_1Lotus,All,Omen,0.94,149,13,16,19,-3,71%,96,33%,4,3,+1
C0M,LEV,Map_1_1Lotus,All,Fade,0.93,147,15,15,12,0,86%,95,16%,2,2,0
valyn,G2,Map_1_1Lotus,Attack,Omen,0.79,144,8,11,6,-3,64%,82,29%,0,2,-2
leaf,G2,Map_1_1Lotus,Attack,Killjoy,0.84,207,8,12,3,-4,64%,151,16%,0,2,-2
icy,G2,Map_1_1Lotus,Attack,Raze,0.49,149,6,13,4,-7,57%,103,8%,3,3,0
JonahP,G2,Map_1_1Lotus,Attack,Viper,0.97,199,10,12,3,-2,64%,120,20%,0,2,-2
trent,G2,Map_1_1Lotus,Attack,Fade,0.45,133,5,12,7,-7,64%,93,19%,0,2,-2
Mazino,LEV,Map_1_1Lotus,Attack,Breach,1.51,271,14,7,4,+7,86%,162,29%,2,1,+1
aspas,LEV,Map_1_1Lotus,Attack,Neon,1.19,285,12,12,4,0,79%,185,14%,3,2,+1
tex,LEV,Map_1_1Lotus,Attack,Cypher,0.73,150,7,9,2,-2,86%,105,29%,0,1,-1
kiNgg,LEV,Map_1_1Lotus,Attack,Omen,0.84,158,8,9,2,-1,57%,114,42%,1,2,-1
C0M,LEV,Map_1_1Lotus,Attack,Fade,0.86,128,7,8,5,-1,79%,87,38%,0,2,-2
valyn,G2,Map_1_1Lotus,Defend,Omen,1.70,302,15,8,9,+7,86%,189,24%,1,1,0
leaf,G2,Map_1_1Lotus,Defend,Killjoy,0.99,199,8,9,3,-1,71%,125,17%,3,1,+2
icy,G2,Map_1_1Lotus,Defend,Raze,1.08,194,10,9,2,+1,64%,145,24%,3,3,0
JonahP,G2,Map_1_1Lotus,Defend,Viper,0.39,116,5,12,1,-7,43%,76,16%,0,0,0
trent,G2,Map_1_1Lotus,Defend,Fade,0.76,164,7,10,8,-3,86%,103,12%,1,1,0
Mazino,LEV,Map_1_1Lotus,Defend,Breach,1.96,379,20,8,9,+12,86%,241,35%,2,0,+2
aspas,LEV,Map_1_1Lotus,Defend,Neon,1.66,323,15,6,6,+9,86%,222,19%,2,1,+1
tex,LEV,Map_1_1Lotus,Defend,Cypher,1.19,212,12,9,1,+3,64%,149,44%,2,1,+1
kiNgg,LEV,Map_1_1Lotus,Defend,Omen,1.03,140,5,7,17,-2,86%,78,25%,3,1,+2
C0M,LEV,Map_1_1Lotus,Defend,Fade,1.00,167,8,7,7,+1,93%,102,8%,2,0,+2
