Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Derrek,EG,All_Maps,All,"Fade, Gekko, Sova",1.15,196,49,46,24,+3,82%,126,34%,4,2,+2
supamen,EG,All_Maps,All,Omen,1.09,227,53,46,19,+7,70%,136,39%,5,6,-1
NaturE,EG,All_Maps,All,"Breach, Skye, Kayo",1.02,197,46,51,27,-5,74%,123,34%,5,6,-1
jawgemo,EG,All_Maps,All,"Neon, Raze, Jett",0.72,194,41,57,16,-16,56%,135,21%,9,16,-7
Apoth,EG,All_Maps,All,"Cypher, Brimstone",0.72,156,34,50,19,-16,64%,112,36%,5,8,-3
eeiu,100T,All_Maps,All,"Fade, Sova",1.32,242,57,41,30,+16,83%,161,34%,4,1,+3
Cryocells,100T,All_Maps,All,"Omen, Brimstone, Jett",1.14,219,56,43,15,+13,77%,131,28%,12,4,+8
bang,100T,All_Maps,All,"Viper, Omen",1.11,216,50,43,26,+7,73%,139,29%,4,9,-5
Asuna,100T,All_Maps,All,"Raze, Kayo",1.08,216,48,46,39,+2,80%,139,15%,13,10,+3
Boostio,100T,All_Maps,All,"Killjoy, Gekko",0.82,177,39,50,24,-11,77%,118,18%,5,4,+1
Derrek,EG,All_Maps,Attack,"Fade, Gekko, Sova",1.47,225,28,16,14,+12,90%,144,32%,1,1,0
supamen,EG,All_Maps,Attack,Omen,1.21,228,24,19,13,+5,74%,143,44%,2,2,0
NaturE,EG,All_Maps,Attack,"Breach, Skye, Kayo",0.98,202,22,22,15,0,74%,122,30%,2,3,-1
jawgemo,EG,All_Maps,Attack,"Neon, Raze, Jett",0.94,234,25,25,8,0,61%,153,20%,5,7,-2
Apoth,EG,All_Maps,Attack,"Cypher, Brimstone",0.62,137,15,24,11,-9,58%,99,40%,3,5,-2
eeiu,100T,All_Maps,Attack,"Fade, Sova",1.54,259,34,17,15,+17,86%,168,37%,2,1,+1
Cryocells,100T,All_Maps,Attack,"Omen, Brimstone, Jett",1.19,248,35,23,10,+12,86%,142,27%,7,4,+3
bang,100T,All_Maps,Attack,"Viper, Omen",0.83,153,19,21,10,-2,71%,94,24%,0,5,-5
Asuna,100T,All_Maps,Attack,"Raze, Kayo",1.26,260,33,24,21,+9,89%,162,19%,9,4,+5
Boostio,100T,All_Maps,Attack,"Killjoy, Gekko",0.90,190,23,24,17,-1,86%,122,22%,2,1,+1
Derrek,EG,All_Maps,Defend,"Fade, Gekko, Sova",0.87,166,21,30,10,-9,74%,110,36%,3,1,+2
supamen,EG,All_Maps,Defend,Omen,0.99,229,29,27,6,+2,66%,130,35%,3,4,-1
NaturE,EG,All_Maps,Defend,"Breach, Skye, Kayo",1.06,193,24,29,12,-5,74%,124,37%,3,3,0
jawgemo,EG,All_Maps,Defend,"Neon, Raze, Jett",0.53,167,16,32,8,-16,51%,118,23%,4,9,-5
Apoth,EG,All_Maps,Defend,"Cypher, Brimstone",0.81,177,19,26,8,-7,69%,123,34%,2,3,-1
eeiu,100T,All_Maps,Defend,"Fade, Sova",1.07,225,23,24,15,-1,81%,154,31%,2,0,+2
Cryocells,100T,All_Maps,Defend,"Omen, Brimstone, Jett",1.09,178,21,20,5,+1,68%,118,29%,5,0,+5
bang,100T,All_Maps,Defend,"Viper, Omen",1.43,291,31,22,16,+9,74%,190,33%,4,4,0
Asuna,100T,All_Maps,Defend,"Raze, Kayo",0.87,166,15,22,18,-7,71%,113,9%,4,6,-2
Boostio,100T,All_Maps,Defend,"Killjoy, Gekko",0.72,164,16,26,7,-10,68%,114,15%,3,3,0
