Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Split,1,"""1-0""",KRÜ,Attackers,Elimination
3Split,2,"""2-0""",KRÜ,Attackers,Elimination
3Split,3,"""2-1""",G2,Defenders,Elimination
3Split,4,"""2-2""",G2,Defenders,Defuse
3Split,5,"""3-2""",KRÜ,Attackers,Elimination
3Split,6,"""4-2""",KRÜ,Attackers,Spike Detonation
3Split,7,"""5-2""",KRÜ,Attackers,Elimination
3Split,8,"""6-2""",KRÜ,Attackers,Elimination
3Split,9,"""7-2""",KRÜ,Attackers,Elimination
3Split,10,"""8-2""",KRÜ,Attackers,Elimination
3Split,11,"""8-3""",G2,Defenders,Elimination
3Split,12,"""9-3""",KRÜ,Attackers,Spike Detonation
3Split,13,"""9-4""",KRÜ,Attackers,Elimination
3Split,14,"""9-5""",KRÜ,Attackers,Elimination
3Split,15,"""10-5""",G2,Defenders,Time Expired
3Split,16,"""11-5""",G2,Defenders,Time Expired
3Split,17,"""12-5""",G2,Defenders,Defuse
3Split,18,"""13-5""",G2,Defenders,Elimination
3Split,19,"""""",,,
3Split,20,"""""",,,
3Split,21,"""""",,,
3Split,22,"""""",,,
3Split,23,"""""",,,
3Split,24,"""""",,,
