,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,,,,,,,,,,46,1,0
tex LEV,,3 Round 10 Cryocells bang Round 11 Asuna Boostio Round 13 Cryocells Boostio,1 Round 9 Cryocells eeiu Boostio,,,,,,,,45,0,0
Mazino LEV,,3 Round 5 Boostio eeiu Round 13 bang eeiu Round 16 bang Cryocells,2 Round 3 eeiu bang Boostio Round 4 Asuna Boostio bang,,,,,,,,69,2,0
aspas LEV,,3 Round 4 Cryocells eeiu Round 8 eeiu Asuna Round 10 Boostio Asuna,2 Round 1 Boostio bang Cryocells Round 7 Boostio Cryocells bang,,,,,,,,59,0,2
kiNgg LEV,,4 Round 6 Boostio Asuna Round 8 bang Cryocells Round 11 eeiu bang Round 17 bang eeiu,,,,1 Round 8 Cryocells,,,,,75,0,1
Asuna 100T,,2 Round 10 Mazino tex Round 14 aspas tex,,,,,,,,,56,2,0
Boostio 100T,,1 Round 15 aspas kiNgg,1 Round 14 Mazino C0M kiNgg,,,,,,,,37,0,0
eeiu 100T,,3 Round 1 Mazino kiNgg Round 7 C0M aspas Round 13 kiNgg aspas,,,,,,,,,55,0,1
bang 100T,,5 Round 7 tex Mazino Round 8 Mazino tex Round 9 tex Mazino Round 11 C0M tex Round 15 Mazino tex,,,,,,,,,47,2,0
Cryocells 100T,,1 Round 8 aspas C0M,,1 Round 12 C0M tex kiNgg Mazino,,,,,,,36,1,0
