Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Haven,1,"""1-0""",LEV,Defenders,Elimination
2Haven,2,"""2-0""",LEV,Defenders,Elimination
2Haven,3,"""3-0""",LEV,Defenders,Elimination
2Haven,4,"""4-0""",LEV,Defenders,Elimination
2Haven,5,"""5-0""",LEV,Defenders,Elimination
2Haven,6,"""6-0""",LEV,Defenders,Defuse
2Haven,7,"""6-1""",100T,Attackers,Elimination
2Haven,8,"""7-1""",LEV,Defenders,Defuse
2Haven,9,"""8-1""",LEV,Defenders,Elimination
2Haven,10,"""9-1""",LEV,Defenders,Defuse
2Haven,11,"""10-1""",LEV,Defenders,Elimination
2Haven,12,"""10-2""",100T,Attackers,Elimination
2Haven,13,"""11-2""",100T,Attackers,Elimination
2Haven,14,"""11-3""",LEV,Defenders,Defuse
2Haven,15,"""11-4""",LEV,Defenders,Elimination
2Haven,16,"""12-4""",100T,Attackers,Elimination
2Haven,17,"""13-4""",100T,Attackers,Elimination
2Haven,18,"""""",,,
2Haven,19,"""""",,,
2Haven,20,"""""",,,
2Haven,21,"""""",,,
2Haven,22,"""""",,,
2Haven,23,"""""",,,
2Haven,24,"""""",,,
