Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Less,LOUD,Map_2_2Bind,All,Omen,1.37,219,16,11,8,+5,62%,171,34%,3,0,+3
pANcada,LOUD,Map_2_2Bind,All,Brimstone,1.02,179,14,13,13,+1,81%,111,34%,1,3,-2
tuyz,LOUD,Map_2_2Bind,All,Raze,0.98,204,13,14,8,-1,71%,134,16%,3,3,0
saadhak,LOUD,Map_2_2Bind,All,Gekko,0.98,213,18,16,4,+2,71%,141,26%,1,2,-1
cauanzin,LOUD,Map_2_2Bind,All,Skye,0.97,205,16,13,4,+3,76%,128,31%,2,3,-1
eeiu,100T,Map_2_2Bind,All,Fade,1.32,212,16,12,5,+4,81%,159,36%,2,0,+2
Asuna,100T,Map_2_2Bind,All,Raze,1.24,273,22,16,1,+6,76%,156,16%,3,1,+2
bang,100T,Map_2_2Bind,All,Viper,0.88,204,14,16,5,-2,62%,121,35%,3,3,0
Cryocells,100T,Map_2_2Bind,All,Brimstone,0.87,146,10,14,6,-4,67%,101,36%,1,3,-2
Boostio,100T,Map_2_2Bind,All,Gekko,0.33,95,5,19,6,-14,71%,75,33%,2,3,-1
Less,LOUD,Map_2_2Bind,Attack,Omen,1.14,196,8,8,2,0,42%,158,36%,1,0,+1
pANcada,LOUD,Map_2_2Bind,Attack,Brimstone,0.51,110,4,10,7,-6,67%,73,31%,0,2,-2
tuyz,LOUD,Map_2_2Bind,Attack,Raze,1.27,263,10,8,4,+2,75%,169,17%,2,3,-1
saadhak,LOUD,Map_2_2Bind,Attack,Gekko,0.42,142,7,11,2,-4,67%,92,29%,0,2,-2
cauanzin,LOUD,Map_2_2Bind,Attack,Skye,0.93,206,8,8,3,0,75%,133,35%,1,1,0
eeiu,100T,Map_2_2Bind,Attack,Fade,1.28,252,7,7,2,0,67%,182,30%,1,0,+1
Asuna,100T,Map_2_2Bind,Attack,Raze,1.56,349,12,8,0,+4,78%,177,12%,2,0,+2
bang,100T,Map_2_2Bind,Attack,Viper,0.03,57,1,9,1,-8,33%,44,11%,0,2,-2
Cryocells,100T,Map_2_2Bind,Attack,Brimstone,0.35,46,1,7,2,-6,44%,28,25%,0,2,-2
Boostio,100T,Map_2_2Bind,Attack,Gekko,0.17,91,1,9,5,-8,78%,93,18%,0,2,-2
Less,LOUD,Map_2_2Bind,Defend,Omen,1.66,250,8,3,6,+5,89%,187,32%,2,0,+2
pANcada,LOUD,Map_2_2Bind,Defend,Brimstone,1.69,271,10,3,6,+7,100%,162,36%,1,1,0
tuyz,LOUD,Map_2_2Bind,Defend,Raze,0.59,127,3,6,4,-3,67%,86,13%,1,0,+1
saadhak,LOUD,Map_2_2Bind,Defend,Gekko,1.72,308,11,5,2,+6,78%,207,24%,1,0,+1
cauanzin,LOUD,Map_2_2Bind,Defend,Skye,1.01,204,8,5,1,+3,78%,121,27%,1,2,-1
eeiu,100T,Map_2_2Bind,Defend,Fade,1.36,182,9,5,3,+4,92%,141,44%,1,0,+1
Asuna,100T,Map_2_2Bind,Defend,Raze,1.00,218,10,8,1,+2,75%,140,22%,1,1,0
bang,100T,Map_2_2Bind,Defend,Viper,1.55,315,13,7,4,+6,83%,178,44%,3,1,+2
Cryocells,100T,Map_2_2Bind,Defend,Brimstone,1.27,221,9,7,4,+2,83%,156,38%,1,1,0
Boostio,100T,Map_2_2Bind,Defend,Gekko,0.46,99,4,10,1,-6,67%,62,71%,2,1,+1
