Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
cauanzin,LOUD,Map_2_2Icebox,All,Kayo,1.30,261,24,16,3,+8,61%,160,22%,1,2,-1
pANcada,LOUD,Map_2_2Icebox,All,Omen,1.20,241,20,17,4,+3,74%,163,37%,4,1,+3
Less,LOUD,Map_2_2Icebox,All,Killjoy,0.98,246,18,19,6,-1,74%,175,21%,4,2,+2
tuyz,LOUD,Map_2_2Icebox,All,Harbor,0.73,145,11,17,5,-6,65%,105,46%,1,3,-2
saadhak,LOUD,Map_2_2Icebox,All,Gekko,0.58,151,9,19,12,-10,70%,96,24%,1,4,-3
havoc,FUR,Map_2_2Icebox,All,Killjoy,1.39,272,22,15,5,+7,78%,198,46%,4,4,0
nzr,FUR,Map_2_2Icebox,All,Sova,1.20,249,22,16,8,+6,65%,181,24%,1,0,+1
Khalil,FUR,Map_2_2Icebox,All,Viper,0.94,148,12,14,8,-2,65%,100,24%,1,0,+1
xand,FUR,Map_2_2Icebox,All,Sage,0.92,164,15,16,7,-1,61%,100,27%,2,4,-2
mwzera,FUR,Map_2_2Icebox,All,Jett,0.80,214,17,21,3,-4,78%,137,20%,4,3,+1
cauanzin,LOUD,Map_2_2Icebox,Attack,Kayo,0.85,194,9,9,1,0,50%,113,26%,0,2,-2
pANcada,LOUD,Map_2_2Icebox,Attack,Omen,1.40,280,13,9,1,+4,75%,174,41%,2,1,+1
Less,LOUD,Map_2_2Icebox,Attack,Killjoy,0.85,223,9,10,1,-1,67%,144,15%,2,1,+1
tuyz,LOUD,Map_2_2Icebox,Attack,Harbor,0.72,147,6,9,2,-3,67%,102,43%,0,2,-2
saadhak,LOUD,Map_2_2Icebox,Attack,Gekko,0.52,160,5,11,6,-6,83%,103,20%,0,2,-2
havoc,FUR,Map_2_2Icebox,Attack,Killjoy,1.06,199,8,7,1,+1,73%,130,67%,1,3,-2
nzr,FUR,Map_2_2Icebox,Attack,Sova,1.26,302,12,8,4,+4,64%,226,21%,0,0,0
Khalil,FUR,Map_2_2Icebox,Attack,Viper,1.00,151,6,7,3,-1,73%,104,29%,0,0,0
xand,FUR,Map_2_2Icebox,Attack,Sage,0.89,154,7,8,4,-1,64%,77,42%,1,2,-1
mwzera,FUR,Map_2_2Icebox,Attack,Jett,0.58,187,7,10,2,-3,73%,123,17%,2,2,0
cauanzin,LOUD,Map_2_2Icebox,Defend,Kayo,1.80,335,15,7,2,+8,73%,212,20%,1,0,+1
pANcada,LOUD,Map_2_2Icebox,Defend,Omen,0.98,199,7,8,3,-1,73%,151,30%,2,0,+2
Less,LOUD,Map_2_2Icebox,Defend,Killjoy,1.12,271,9,9,5,0,82%,208,26%,2,1,+1
tuyz,LOUD,Map_2_2Icebox,Defend,Harbor,0.73,143,5,8,3,-3,64%,109,50%,1,1,0
saadhak,LOUD,Map_2_2Icebox,Defend,Gekko,0.66,143,4,8,6,-4,55%,88,28%,1,2,-1
havoc,FUR,Map_2_2Icebox,Defend,Killjoy,1.69,341,14,8,4,+6,83%,261,38%,3,1,+2
nzr,FUR,Map_2_2Icebox,Defend,Sova,1.14,200,10,8,4,+2,67%,139,29%,1,0,+1
Khalil,FUR,Map_2_2Icebox,Defend,Viper,0.87,145,6,7,5,-1,58%,96,20%,1,0,+1
xand,FUR,Map_2_2Icebox,Defend,Sage,0.94,174,8,8,3,0,58%,121,20%,1,2,-1
mwzera,FUR,Map_2_2Icebox,Defend,Jett,1.00,240,10,11,1,-1,83%,149,24%,2,1,+1
