,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pANcada LOUD,,1 Round 1 aspas C0M,1 Round 15 tex kiNgg C0M,,,,,,,,31,0,0
saadhak LOUD,,1 Round 12 kiNgg Mazino,,,,,,,,,38,5,0
tuyz LOUD,,1 Round 19 Mazino tex,1 Round 13 kiNgg aspas C0M tuyz,,,,,,,,37,2,0
cauanzin LOUD,,1 Round 12 C0M aspas,3 Round 3 aspas C0M tex Round 6 kiNgg C0M tex Round 9 tex Mazino C0M,,,,,,,,85,1,1
Less LOUD,,2 Round 6 Mazino aspas Round 16 Mazino tex,,,,,,,,,50,1,0
C0M LEV,,2 Round 13 pANcada saadhak Round 18 saadhak tuyz,,,,,1 Round 13 saadhak tuyz,,,,29,0,1
tex LEV,,5 Round 1 saadhak Less Round 7 pANcada cauanzin Round 8 cauanzin Less Round 11 Less tuyz Round 16 tuyz pANcada,,1 Round 10 Less pANcada saadhak tuyz,,1 Round 1 Less,,,,,60,0,1
Mazino LEV,,3 Round 3 tuyz saadhak Round 4 Less tuyz Round 18 pANcada Less,,,,,,,,,60,6,2
aspas LEV,,4 Round 7 tuyz saadhak Round 8 saadhak pANcada Round 9 saadhak pANcada Round 12 pANcada Less,2 Round 5 Less pANcada tuyz Round 6 tuyz saadhak pANcada,2 Round 14 Less saadhak cauanzin pANcada Round 19 cauanzin tuyz pANcada Less,,,,,,,95,0,0
kiNgg LEV,,2 Round 1 pANcada tuyz Round 17 Less cauanzin,2 Round 2 Less tuyz pANcada Round 11 pANcada cauanzin saadhak,,,,1 Round 2 pANcada tuyz,,,,65,0,1
