Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""0-1""",LEV,Attackers,Elimination
1Lotus,2,"""0-2""",LEV,Attackers,Elimination
1Lotus,3,"""0-3""",LEV,Attackers,Elimination
1Lotus,4,"""1-3""",LOUD,Defenders,Elimination
1Lotus,5,"""2-3""",LOUD,Defenders,Defuse
1Lotus,6,"""3-3""",LOUD,Defenders,Defuse
1Lotus,7,"""4-3""",LOUD,Defenders,Time Expired
1Lotus,8,"""5-3""",LOUD,Defenders,Elimination
1Lotus,9,"""6-3""",LOUD,Defenders,Elimination
1Lotus,10,"""7-3""",LOUD,Defenders,Defuse
1Lotus,11,"""7-4""",LEV,Attackers,Elimination
1Lotus,12,"""8-4""",LOUD,Defenders,Elimination
1Lotus,13,"""8-5""",LOUD,Defenders,Elimination
1Lotus,14,"""8-6""",LOUD,Defenders,Elimination
1Lotus,15,"""9-6""",LEV,Attackers,Elimination
1Lotus,16,"""9-7""",LOUD,Defenders,Elimination
1Lotus,17,"""10-7""",LEV,Attackers,Spike Detonation
1Lotus,18,"""10-8""",LOUD,Defenders,Elimination
1Lotus,19,"""10-9""",LOUD,Defenders,Defuse
1Lotus,20,"""10-10""",LOUD,Defenders,Defuse
1Lotus,21,"""11-10""",LEV,Attackers,Elimination
1Lotus,22,"""11-11""",LOUD,Defenders,Elimination
1Lotus,23,"""11-12""",LOUD,Defenders,Defuse
1Lotus,24,"""11-13""",LOUD,Defenders,Defuse
