Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Icebox,1,"""1-0""",FUR,Attackers,Elimination
2Icebox,2,"""2-0""",FUR,Attackers,Elimination
2Icebox,3,"""2-1""",MIBR,Defenders,Elimination
2Icebox,4,"""2-2""",MIBR,Defenders,Elimination
2Icebox,5,"""2-3""",MIBR,Defenders,Defuse
2Icebox,6,"""2-4""",MIBR,Defenders,Time Expired
2Icebox,7,"""2-5""",MIBR,Defenders,Elimination
2Icebox,8,"""2-6""",MIBR,Defenders,Elimination
2Icebox,9,"""3-6""",FUR,Attackers,Elimination
2Icebox,10,"""3-7""",MIBR,Defenders,Defuse
2Icebox,11,"""3-8""",MIBR,Defenders,Defuse
2Icebox,12,"""3-9""",MIBR,Defenders,Defuse
2Icebox,13,"""3-10""",FUR,Attackers,Spike Detonation
2Icebox,14,"""3-11""",FUR,Attackers,Elimination
2Icebox,15,"""4-11""",MIBR,Defenders,Elimination
2Icebox,16,"""5-11""",MIBR,Defenders,Elimination
2Icebox,17,"""6-11""",MIBR,Defenders,Defuse
2Icebox,18,"""6-12""",FUR,Attackers,Elimination
2Icebox,19,"""7-12""",MIBR,Defenders,Defuse
2Icebox,20,"""7-13""",FUR,Attackers,Elimination
2Icebox,21,"""""",,,
2Icebox,22,"""""",,,
2Icebox,23,"""""",,,
2Icebox,24,"""""",,,
