Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Ethan,NRG,Map_2_2Bind,All,Sage,1.25,244,19,14,7,+5,90%,143,17%,3,1,+2
crashies,NRG,Map_2_2Bind,All,Skye,1.08,168,12,11,8,+1,86%,127,24%,0,0,0
s0m,NRG,Map_2_2Bind,All,Brimstone,0.94,177,13,16,10,-3,71%,115,33%,3,2,+1
Victor,NRG,Map_2_2Bind,All,Raze,0.76,197,14,15,4,-1,62%,142,29%,1,7,-6
FiNESSE,NRG,Map_2_2Bind,All,Viper,0.47,150,9,20,6,-11,43%,96,25%,2,2,0
JonahP,G2,Map_2_2Bind,All,Skye,1.39,215,16,11,13,+5,90%,134,30%,1,1,0
trent,G2,Map_2_2Bind,All,Gekko,1.13,239,17,16,7,+1,71%,160,38%,4,2,+2
valyn,G2,Map_2_2Bind,All,Brimstone,1.08,191,13,13,9,0,86%,135,16%,1,0,+1
leaf,G2,Map_2_2Bind,All,Viper,1.02,210,15,14,3,+1,62%,141,21%,3,3,0
icy,G2,Map_2_2Bind,All,Raze,0.97,201,15,13,1,+2,81%,126,24%,3,3,0
Ethan,NRG,Map_2_2Bind,Attack,Sage,1.18,227,7,6,3,+1,89%,132,46%,1,0,+1
crashies,NRG,Map_2_2Bind,Attack,Skye,1.03,164,5,5,3,0,78%,130,28%,0,0,0
s0m,NRG,Map_2_2Bind,Attack,Brimstone,1.21,237,8,7,4,+1,78%,148,54%,1,1,0
Victor,NRG,Map_2_2Bind,Attack,Raze,0.44,153,5,7,2,-2,56%,104,24%,1,3,-2
FiNESSE,NRG,Map_2_2Bind,Attack,Viper,0.59,197,6,9,3,-3,44%,127,26%,1,1,0
JonahP,G2,Map_2_2Bind,Attack,Skye,1.77,252,11,5,10,+6,100%,155,23%,1,0,+1
trent,G2,Map_2_2Bind,Attack,Gekko,1.27,265,12,8,2,+4,58%,169,32%,3,2,+1
valyn,G2,Map_2_2Bind,Attack,Brimstone,1.04,137,5,6,6,-1,100%,99,11%,0,0,0
leaf,G2,Map_2_2Bind,Attack,Viper,0.63,183,7,9,1,-2,58%,115,24%,2,2,0
icy,G2,Map_2_2Bind,Attack,Raze,0.70,178,7,8,1,-1,83%,114,35%,1,1,0
Ethan,NRG,Map_2_2Bind,Defend,Sage,1.29,258,12,8,4,+4,92%,151,6%,2,1,+1
crashies,NRG,Map_2_2Bind,Defend,Skye,1.12,173,7,6,5,+1,92%,124,21%,0,0,0
s0m,NRG,Map_2_2Bind,Defend,Brimstone,0.74,133,5,9,6,-4,67%,91,18%,2,1,+1
Victor,NRG,Map_2_2Bind,Defend,Raze,1.00,231,9,8,2,+1,67%,170,32%,0,4,-4
FiNESSE,NRG,Map_2_2Bind,Defend,Viper,0.38,115,3,11,3,-8,42%,73,24%,1,1,0
JonahP,G2,Map_2_2Bind,Defend,Skye,0.89,167,5,6,3,-1,78%,107,50%,0,1,-1
trent,G2,Map_2_2Bind,Defend,Gekko,0.96,207,5,8,5,-3,89%,147,45%,1,0,+1
valyn,G2,Map_2_2Bind,Defend,Brimstone,1.12,262,8,7,3,+1,67%,184,21%,1,0,+1
leaf,G2,Map_2_2Bind,Defend,Viper,1.53,248,8,5,2,+3,67%,176,19%,1,1,0
icy,G2,Map_2_2Bind,Defend,Raze,1.31,232,8,5,0,+3,78%,142,15%,2,2,0
