Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
TenZ,SEN,Map_2_2Split,All,Omen,1.24,196,18,13,4,+5,83%,115,26%,3,1,+2
Sacy,SEN,Map_2_2Split,All,Skye,1.13,198,15,13,4,+2,83%,146,29%,2,1,+1
zekken,SEN,Map_2_2Split,All,Raze,1.10,256,19,19,4,0,74%,172,33%,4,5,-1
Zellsis,SEN,Map_2_2Split,All,Viper,1.03,148,12,12,7,0,74%,96,13%,1,1,0
johnqt,SEN,Map_2_2Split,All,Cypher,0.81,158,11,16,6,-5,74%,111,33%,2,3,-1
keznit,KRÜ,Map_2_2Split,All,Raze,1.20,245,20,16,3,+4,78%,162,25%,5,2,+3
heat,KRÜ,Map_2_2Split,All,Skye,1.01,189,16,15,8,+1,78%,120,36%,1,3,-2
Melser,KRÜ,Map_2_2Split,All,Omen,0.99,172,15,13,7,+2,83%,110,26%,2,1,+1
Shyy,KRÜ,Map_2_2Split,All,Viper,0.84,163,14,15,8,-1,61%,115,26%,1,3,-2
Klaus,KRÜ,Map_2_2Split,All,Cypher,0.65,114,8,16,7,-8,65%,88,29%,2,3,-1
TenZ,SEN,Map_2_2Split,Attack,Omen,0.98,150,7,7,3,0,92%,106,43%,0,0,0
Sacy,SEN,Map_2_2Split,Attack,Skye,1.44,214,9,5,3,+4,92%,148,33%,1,0,+1
zekken,SEN,Map_2_2Split,Attack,Raze,1.75,383,15,9,3,+6,83%,257,37%,3,4,-1
Zellsis,SEN,Map_2_2Split,Attack,Viper,1.22,179,7,5,5,+2,83%,115,10%,1,0,+1
johnqt,SEN,Map_2_2Split,Attack,Cypher,0.58,77,4,7,0,-3,75%,59,25%,0,3,-3
keznit,KRÜ,Map_2_2Split,Attack,Raze,1.16,229,9,7,2,+2,64%,154,24%,3,2,+1
heat,KRÜ,Map_2_2Split,Attack,Skye,0.94,185,8,7,1,+1,82%,116,50%,0,3,-3
Melser,KRÜ,Map_2_2Split,Attack,Omen,1.15,205,9,6,5,+3,91%,129,35%,0,0,0
Shyy,KRÜ,Map_2_2Split,Attack,Viper,1.11,217,9,7,4,+2,73%,164,30%,0,1,-1
Klaus,KRÜ,Map_2_2Split,Attack,Cypher,1.04,146,5,6,4,-1,82%,109,44%,1,1,0
TenZ,SEN,Map_2_2Split,Defend,Omen,1.53,246,11,6,1,+5,73%,125,17%,3,1,+2
Sacy,SEN,Map_2_2Split,Defend,Skye,0.80,182,6,8,1,-2,73%,144,25%,1,1,0
zekken,SEN,Map_2_2Split,Defend,Raze,0.38,119,4,10,1,-6,64%,79,23%,1,1,0
Zellsis,SEN,Map_2_2Split,Defend,Viper,0.81,116,5,7,2,-2,64%,75,18%,0,1,-1
johnqt,SEN,Map_2_2Split,Defend,Cypher,1.07,247,7,9,6,-2,73%,168,35%,2,0,+2
keznit,KRÜ,Map_2_2Split,Defend,Raze,1.24,260,11,9,1,+2,92%,169,27%,2,0,+2
heat,KRÜ,Map_2_2Split,Defend,Skye,1.08,194,8,8,7,0,75%,124,27%,1,0,+1
Melser,KRÜ,Map_2_2Split,Defend,Omen,0.84,142,6,7,2,-1,75%,93,16%,2,1,+1
Shyy,KRÜ,Map_2_2Split,Defend,Viper,0.59,114,5,8,4,-3,50%,70,21%,1,2,-1
Klaus,KRÜ,Map_2_2Split,Defend,Cypher,0.29,85,3,10,3,-7,50%,69,16%,1,2,-1
