Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Sunset,1,"""0-1""",EDG,Defenders,Elimination
1Sunset,2,"""1-1""",FPX,Attackers,Elimination
1Sunset,3,"""2-1""",FPX,Attackers,Elimination
1Sunset,4,"""3-1""",FPX,Attackers,Spike Detonation
1Sunset,5,"""3-2""",EDG,Defenders,Elimination
1Sunset,6,"""4-2""",FPX,Attackers,Spike Detonation
1Sunset,7,"""5-2""",FPX,Attackers,Elimination
1Sunset,8,"""6-2""",FPX,Attackers,Elimination
1Sunset,9,"""7-2""",FPX,Attackers,Elimination
1Sunset,10,"""8-2""",FPX,Attackers,Elimination
1Sunset,11,"""8-3""",EDG,Defenders,Elimination
1Sunset,12,"""9-3""",FPX,Attackers,Elimination
1Sunset,13,"""9-4""",FPX,Attackers,Elimination
1Sunset,14,"""9-5""",FPX,Attackers,Elimination
1Sunset,15,"""10-5""",EDG,Defenders,Elimination
1Sunset,16,"""10-6""",FPX,Attackers,Elimination
1Sunset,17,"""10-7""",FPX,Attackers,Elimination
1Sunset,18,"""11-7""",EDG,Defenders,Elimination
1Sunset,19,"""11-8""",FPX,Attackers,Spike Detonation
1Sunset,20,"""11-9""",FPX,Attackers,Elimination
1Sunset,21,"""12-9""",EDG,Defenders,Defuse
1Sunset,22,"""13-9""",EDG,Defenders,Elimination
1Sunset,23,"""""",,,
1Sunset,24,"""""",,,
