Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Flashback,DRX,All_Maps,All,"Cypher, Viper",1.19,238,51,34,9,+17,83%,154,24%,6,2,+4
BuZz,DRX,All_Maps,All,"Jett, Raze",1.04,247,43,41,12,+2,68%,162,15%,9,9,0
Foxy9,DRX,All_Maps,All,"Breach, Kayo, Gekko",0.96,190,36,37,20,-1,66%,129,32%,2,7,-5
BeYN,DRX,All_Maps,All,"Sova, Fade",0.91,169,35,36,10,-1,66%,114,27%,4,5,-1
MaKo,DRX,All_Maps,All,"Omen, Brimstone",0.86,154,25,35,21,-10,70%,104,22%,4,5,-1
Melser,KRÜ,All_Maps,All,"Omen, Harbor, Brimstone",1.21,213,36,33,19,+3,70%,133,27%,5,5,0
keznit,KRÜ,All_Maps,All,"Neon, Omen, Raze",1.20,277,48,40,16,+8,64%,176,27%,11,5,+6
Shyy,KRÜ,All_Maps,All,"Cypher, Viper",0.95,179,32,38,18,-6,60%,115,24%,8,8,0
heat,KRÜ,All_Maps,All,"Breach, Sova, Fade",0.93,173,36,39,16,-3,74%,116,27%,2,2,0
mta,KRÜ,All_Maps,All,"Sova, Kayo, Gekko",0.81,162,31,40,17,-9,75%,119,27%,2,5,-3
Flashback,DRX,All_Maps,Attack,"Cypher, Viper",1.05,220,22,19,3,+3,65%,131,29%,4,2,+2
BuZz,DRX,All_Maps,Attack,"Jett, Raze",1.08,279,22,23,7,-1,62%,184,17%,4,4,0
Foxy9,DRX,All_Maps,Attack,"Breach, Kayo, Gekko",0.72,148,12,20,11,-8,58%,96,39%,0,5,-5
BeYN,DRX,All_Maps,Attack,"Sova, Fade",0.77,136,16,20,2,-4,50%,78,32%,2,3,-1
MaKo,DRX,All_Maps,Attack,"Omen, Brimstone",0.76,138,11,20,11,-9,65%,97,21%,0,2,-2
Melser,KRÜ,All_Maps,Attack,"Omen, Harbor, Brimstone",1.01,162,14,19,9,-5,67%,116,26%,1,3,-2
keznit,KRÜ,All_Maps,Attack,"Neon, Omen, Raze",1.06,231,19,22,7,-3,52%,155,19%,6,4,+2
Shyy,KRÜ,All_Maps,Attack,"Cypher, Viper",0.84,138,12,20,10,-8,48%,97,19%,2,3,-1
heat,KRÜ,All_Maps,Attack,"Breach, Sova, Fade",0.94,191,20,23,5,-3,74%,122,31%,2,2,0
mta,KRÜ,All_Maps,Attack,"Sova, Kayo, Gekko",0.82,179,16,23,11,-7,74%,132,29%,1,3,-2
Flashback,DRX,All_Maps,Defend,"Cypher, Viper",1.33,266,29,15,6,+14,100%,177,20%,2,0,+2
BuZz,DRX,All_Maps,Defend,"Jett, Raze",1.01,226,21,18,5,+3,74%,141,13%,5,5,0
Foxy9,DRX,All_Maps,Defend,"Breach, Kayo, Gekko",1.19,237,24,17,9,+7,74%,160,28%,2,2,0
BeYN,DRX,All_Maps,Defend,"Sova, Fade",1.08,214,19,16,8,+3,81%,149,25%,2,2,0
MaKo,DRX,All_Maps,Defend,"Omen, Brimstone",0.97,168,14,15,10,-1,74%,110,23%,4,3,+1
Melser,KRÜ,All_Maps,Defend,"Omen, Harbor, Brimstone",1.43,240,22,14,10,+8,73%,151,27%,4,2,+2
keznit,KRÜ,All_Maps,Defend,"Neon, Omen, Raze",1.35,312,29,18,9,+11,77%,197,33%,5,1,+4
Shyy,KRÜ,All_Maps,Defend,"Cypher, Viper",1.06,215,20,18,8,+2,73%,134,30%,6,5,+1
heat,KRÜ,All_Maps,Defend,"Breach, Sova, Fade",0.91,155,16,16,11,0,73%,110,23%,0,0,0
mta,KRÜ,All_Maps,Defend,"Sova, Kayo, Gekko",0.79,158,15,17,6,-2,77%,106,24%,1,2,-1
