Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Abyss,1,"""1-0""",DRX,Defenders,Defuse
2Abyss,2,"""1-1""",KRÜ,Attackers,Elimination
2Abyss,3,"""1-2""",KRÜ,Attackers,Elimination
2Abyss,4,"""2-2""",DRX,Defenders,Elimination
2Abyss,5,"""3-2""",DRX,Defenders,Elimination
2Abyss,6,"""4-2""",DRX,Defenders,Time Expired
2Abyss,7,"""5-2""",DRX,Defenders,Elimination
2Abyss,8,"""5-3""",KRÜ,Attackers,Elimination
2Abyss,9,"""5-4""",KRÜ,Attackers,Elimination
2Abyss,10,"""6-4""",DRX,Defenders,Elimination
2Abyss,11,"""7-4""",DRX,Defenders,Elimination
2Abyss,12,"""8-4""",DRX,Defenders,Defuse
2Abyss,13,"""9-4""",KRÜ,Attackers,Elimination
2Abyss,14,"""9-5""",DRX,Defenders,Defuse
2Abyss,15,"""9-6""",DRX,Defenders,Elimination
2Abyss,16,"""10-6""",KRÜ,Attackers,Spike Detonation
2Abyss,17,"""11-6""",KRÜ,Attackers,Elimination
2Abyss,18,"""12-6""",KRÜ,Attackers,Elimination
2Abyss,19,"""13-6""",KRÜ,Attackers,Elimination
2Abyss,20,"""""",,,
2Abyss,21,"""""",,,
2Abyss,22,"""""",,,
2Abyss,23,"""""",,,
2Abyss,24,"""""",,,
