Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
ZmjjKK,EDG,Map_2_2Haven,All,Neon,1.18,280,23,18,1,+5,54%,185,21%,5,5,0
S1Mon,EDG,Map_2_2Haven,All,Breach,1.01,169,15,16,8,-1,58%,110,42%,0,3,-3
nobody,EDG,Map_2_2Haven,All,Sova,0.98,166,13,14,5,-1,71%,128,48%,0,3,-3
Smoggy,EDG,Map_2_2Haven,All,Omen,0.86,155,13,15,6,-2,67%,103,28%,2,1,+1
CHICHOO,EDG,Map_2_2Haven,All,Cypher,0.75,120,10,13,4,-3,71%,77,22%,3,2,+1
valyn,G2,Map_2_2Haven,All,Omen,1.29,224,19,13,7,+6,79%,145,25%,2,0,+2
trent,G2,Map_2_2Haven,All,Sova,1.18,212,19,14,5,+5,79%,137,41%,2,3,-1
leaf,G2,Map_2_2Haven,All,Killjoy,1.08,216,18,16,2,+2,71%,135,15%,7,1,+6
icy,G2,Map_2_2Haven,All,Yoru,0.77,142,12,16,2,-4,67%,100,29%,2,4,-2
JonahP,G2,Map_2_2Haven,All,Viper,0.71,123,8,15,11,-7,63%,82,9%,1,2,-1
ZmjjKK,EDG,Map_2_2Haven,Attack,Neon,1.17,285,12,8,0,+4,58%,179,16%,4,3,+1
S1Mon,EDG,Map_2_2Haven,Attack,Breach,0.64,139,6,9,1,-3,50%,87,25%,0,2,-2
nobody,EDG,Map_2_2Haven,Attack,Sova,0.86,148,6,7,1,-1,58%,98,78%,0,2,-2
Smoggy,EDG,Map_2_2Haven,Attack,Omen,0.73,145,6,8,2,-2,58%,99,31%,0,0,0
CHICHOO,EDG,Map_2_2Haven,Attack,Cypher,0.51,49,2,7,1,-5,67%,30,13%,1,0,+1
valyn,G2,Map_2_2Haven,Attack,Omen,1.28,265,11,8,2,+3,75%,171,31%,1,0,+1
trent,G2,Map_2_2Haven,Attack,Sova,0.70,156,7,9,2,-2,83%,110,50%,1,1,0
leaf,G2,Map_2_2Haven,Attack,Killjoy,1.00,225,10,9,0,+1,67%,138,23%,4,1,+3
icy,G2,Map_2_2Haven,Attack,Yoru,0.53,116,5,9,1,-4,67%,84,38%,0,2,-2
JonahP,G2,Map_2_2Haven,Attack,Viper,0.75,116,4,7,3,-3,50%,83,10%,1,1,0
ZmjjKK,EDG,Map_2_2Haven,Defend,Neon,1.19,275,11,10,1,+1,50%,191,26%,1,2,-1
S1Mon,EDG,Map_2_2Haven,Defend,Breach,1.38,201,9,7,7,+2,67%,134,60%,0,1,-1
nobody,EDG,Map_2_2Haven,Defend,Sova,1.10,185,7,7,4,0,83%,157,35%,0,1,-1
Smoggy,EDG,Map_2_2Haven,Defend,Omen,0.99,166,7,7,4,0,75%,107,25%,2,1,+1
CHICHOO,EDG,Map_2_2Haven,Defend,Cypher,0.99,193,8,6,3,+2,75%,125,25%,2,2,0
valyn,G2,Map_2_2Haven,Defend,Omen,1.31,184,8,5,5,+3,83%,118,17%,1,0,+1
trent,G2,Map_2_2Haven,Defend,Sova,1.67,268,12,5,3,+7,75%,165,36%,1,2,-1
leaf,G2,Map_2_2Haven,Defend,Killjoy,1.17,208,8,7,2,+1,75%,133,9%,3,0,+3
icy,G2,Map_2_2Haven,Defend,Yoru,1.01,168,7,7,1,0,67%,116,24%,2,2,0
JonahP,G2,Map_2_2Haven,Defend,Viper,0.67,131,4,8,8,-4,75%,82,8%,0,1,-1
