,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
nobody EDG,,1 Round 1 Jinggg mindfreak,,,,,,,,,37,1,0
ZmjjKK EDG,,1 Round 11 f0rsakeN something,,,,,,,,,49,0,0
Smoggy EDG,,3 Round 1 d4v41 something Round 12 something d4v41 Round 15 f0rsakeN Jinggg,1 Round 6 something Jinggg f0rsakeN,,,,,,,,65,0,0
S1Mon EDG,,2 Round 7 f0rsakeN mindfreak Round 8 f0rsakeN Jinggg,,,,,,,,,55,0,1
CHICHOO EDG,,4 Round 10 something mindfreak Round 11 mindfreak d4v41 Round 12 f0rsakeN mindfreak Round 13 Jinggg f0rsakeN,,,,,,,,,70,0,1
Jinggg PRX,,2 Round 10 nobody CHICHOO Round 14 S1Mon CHICHOO,,,,,,,,,30,9,0
mindfreak PRX,,1 Round 6 nobody Smoggy,2 Round 10 ZmjjKK Smoggy S1Mon Round 15 nobody S1Mon CHICHOO,,,,,1 Round 6 Smoggy S1Mon ZmjjKK,,,52,0,0
f0rsakeN PRX,,4 Round 2 S1Mon ZmjjKK Round 13 Smoggy nobody Round 14 nobody ZmjjKK Round 16 Smoggy nobody,3 Round 3 Smoggy S1Mon CHICHOO Round 9 Smoggy S1Mon CHICHOO Round 12 Smoggy CHICHOO ZmjjKK,,,1 Round 1 Smoggy,,,,,89,0,0
d4v41 PRX,,2 Round 7 S1Mon CHICHOO Round 13 CHICHOO S1Mon,,,,,1 Round 7 S1Mon CHICHOO,,,,52,1,1
something PRX,,5 Round 5 ZmjjKK S1Mon Round 7 ZmjjKK nobody Round 9 nobody ZmjjKK Round 15 ZmjjKK Smoggy Round 16 ZmjjKK S1Mon,,1 Round 1 CHICHOO S1Mon ZmjjKK nobody,,,,,,,79,1,0
