Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Lotus,1,"""1-0""",FNC,Defenders,Elimination
3Lotus,2,"""2-0""",FNC,Defenders,Time Expired
3Lotus,3,"""3-0""",FNC,Defenders,Defuse
3Lotus,4,"""3-1""",KRÜ,Attackers,Elimination
3Lotus,5,"""4-1""",FNC,Defenders,Elimination
3Lotus,6,"""5-1""",FNC,Defenders,Defuse
3Lotus,7,"""6-1""",FNC,Defenders,Defuse
3Lotus,8,"""6-2""",KRÜ,Attackers,Elimination
3Lotus,9,"""7-2""",FNC,Defenders,Defuse
3Lotus,10,"""8-2""",FNC,Defenders,Elimination
3Lotus,11,"""8-3""",KRÜ,Attackers,Elimination
3Lotus,12,"""8-4""",KRÜ,Attackers,Elimination
3Lotus,13,"""9-4""",KRÜ,Attackers,Spike Detonation
3Lotus,14,"""10-4""",KRÜ,Attackers,Elimination
3Lotus,15,"""10-5""",FNC,Defenders,Elimination
3Lotus,16,"""11-5""",KRÜ,Attackers,Spike Detonation
3Lotus,17,"""12-5""",KRÜ,Attackers,Elimination
3Lotus,18,"""13-5""",KRÜ,Attackers,Elimination
3Lotus,19,"""""",,,
3Lotus,20,"""""",,,
3Lotus,21,"""""",,,
3Lotus,22,"""""",,,
3Lotus,23,"""""",,,
3Lotus,24,"""""",,,
