,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cNed FUT,,,1 Round 13 something f0rsakeN d4v41,1 Round 16 Jinggg mindfreak d4v41 f0rsakeN,,,,,,,52,0,0
qRaxs FUT,,2 Round 9 Jinggg mindfreak Round 15 Jinggg mindfreak,,,,1 Round 15 mindfreak,,,,,25,0,1
AtaKaptan FUT,,,1 Round 17 something d4v41 mindfreak,,,,,,,,36,0,0
MrFaliN FUT,,3 Round 5 mindfreak cNed Round 9 d4v41 f0rsakeN Round 12 mindfreak something,1 Round 8 mindfreak d4v41 Jinggg,,,,,,,,43,4,0
yetujey FUT,,3 Round 10 d4v41 something Round 12 f0rsakeN Jinggg Round 19 d4v41 something,1 Round 11 something d4v41 mindfreak,,,,,,,,64,0,1
Jinggg PRX,,2 Round 7 qRaxs MrFaliN Round 17 yetujey cNed,2 Round 10 MrFaliN AtaKaptan qRaxs Round 18 cNed AtaKaptan qRaxs,,,,,,,,59,0,0
mindfreak PRX,,4 Round 3 MrFaliN cNed Round 5 AtaKaptan qRaxs Round 6 qRaxs cNed Round 19 MrFaliN yetujey,,,,,,,,,54,0,0
f0rsakeN PRX,,1 Round 4 MrFaliN cNed,1 Round 2 cNed AtaKaptan yetujey,,,1 Round 11 yetujey,,,,,51,0,0
d4v41 PRX,,2 Round 1 AtaKaptan MrFaliN Round 3 AtaKaptan qRaxs,1 Round 11 qRaxs AtaKaptan cNed,,,,1 Round 13 cNed yetujey,,,,72,2,1
something PRX,,2 Round 4 qRaxs yetujey Round 14 yetujey qRaxs,,,,,,,,,46,4,0
