Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
AAAAY,FPX,Map_1_1Abyss,All,Fade,1.36,291,27,18,2,+9,73%,197,40%,5,3,+2
Autumn,FPX,Map_1_1Abyss,All,Viper,1.05,214,19,18,9,+1,77%,151,26%,0,1,-1
BerLIN,FPX,Map_1_1Abyss,All,Omen,0.94,154,15,15,6,0,69%,107,20%,2,2,0
Lysoar,FPX,Map_1_1Abyss,All,Cypher,0.92,200,17,20,11,-3,65%,131,12%,2,2,0
Life,FPX,Map_1_1Abyss,All,Yoru,0.53,139,12,20,3,-8,62%,96,29%,4,5,-1
RieNs,TH,Map_1_1Abyss,All,Sova,1.78,302,28,12,7,+16,69%,202,32%,3,0,+3
Wo0t,TH,Map_1_1Abyss,All,Gekko,1.27,268,25,18,8,+7,88%,161,30%,4,2,+2
benjyfishy,TH,Map_1_1Abyss,All,Cypher,0.74,147,13,19,6,-6,69%,108,29%,3,5,-2
Boo,TH,Map_1_1Abyss,All,Astra,0.67,157,16,21,7,-5,69%,99,30%,0,1,-1
MiniBoo,TH,Map_1_1Abyss,All,Jett,0.45,94,9,20,2,-11,58%,74,22%,3,5,-2
AAAAY,FPX,Map_1_1Abyss,Attack,Fade,1.07,257,12,9,0,+3,69%,180,31%,3,1,+2
Autumn,FPX,Map_1_1Abyss,Attack,Viper,1.27,236,11,8,4,+3,85%,168,24%,0,0,0
BerLIN,FPX,Map_1_1Abyss,Attack,Omen,1.22,167,8,6,4,+2,85%,118,19%,2,0,+2
Lysoar,FPX,Map_1_1Abyss,Attack,Cypher,0.83,157,8,8,3,0,62%,103,25%,1,1,0
Life,FPX,Map_1_1Abyss,Attack,Yoru,0.98,211,10,9,2,+1,69%,144,38%,3,2,+1
RieNs,TH,Map_1_1Abyss,Attack,Sova,2.45,427,21,4,3,+17,85%,286,37%,3,0,+3
Wo0t,TH,Map_1_1Abyss,Attack,Gekko,1.15,250,11,8,4,+3,92%,152,44%,4,0,+4
benjyfishy,TH,Map_1_1Abyss,Attack,Cypher,0.62,119,5,8,3,-3,69%,91,33%,1,1,0
Boo,TH,Map_1_1Abyss,Attack,Astra,0.71,186,10,11,3,-1,85%,114,25%,0,1,-1
MiniBoo,TH,Map_1_1Abyss,Attack,Jett,0.30,78,4,10,1,-6,77%,51,33%,1,2,-1
AAAAY,FPX,Map_1_1Abyss,Defend,Fade,1.65,326,15,9,2,+6,77%,214,52%,2,2,0
Autumn,FPX,Map_1_1Abyss,Defend,Viper,0.83,193,8,10,5,-2,69%,133,29%,0,1,-1
BerLIN,FPX,Map_1_1Abyss,Defend,Omen,0.67,142,7,9,2,-2,54%,96,22%,0,2,-2
Lysoar,FPX,Map_1_1Abyss,Defend,Cypher,1.02,243,9,12,8,-3,69%,158,7%,1,1,0
Life,FPX,Map_1_1Abyss,Defend,Yoru,0.07,68,2,11,1,-9,54%,48,9%,1,3,-2
RieNs,TH,Map_1_1Abyss,Defend,Sova,1.11,178,7,8,4,-1,54%,118,23%,0,0,0
Wo0t,TH,Map_1_1Abyss,Defend,Gekko,1.40,287,14,10,4,+4,85%,171,21%,0,2,-2
benjyfishy,TH,Map_1_1Abyss,Defend,Cypher,0.85,176,8,11,3,-3,69%,125,26%,2,4,-2
Boo,TH,Map_1_1Abyss,Defend,Astra,0.63,130,6,10,4,-4,54%,84,40%,0,0,0
MiniBoo,TH,Map_1_1Abyss,Defend,Jett,0.59,111,5,10,1,-5,38%,97,17%,2,3,-1
