Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
trent,G2,Map_2_2Lotus,All,Fade,1.36,271,20,15,10,+5,68%,170,26%,2,1,+1
icy,G2,Map_2_2Lotus,All,Raze,1.19,218,18,14,1,+4,73%,148,33%,3,0,+3
JonahP,G2,Map_2_2Lotus,All,Viper,1.17,263,21,16,2,+5,68%,166,33%,3,5,-2
leaf,G2,Map_2_2Lotus,All,Killjoy,1.17,194,16,13,4,+3,82%,134,19%,4,0,+4
valyn,G2,Map_2_2Lotus,All,Omen,0.84,174,13,15,16,-2,82%,97,15%,2,2,0
f0rsakeN,PRX,Map_2_2Lotus,All,Kayo,1.32,239,19,17,14,+2,77%,146,36%,1,2,-1
something,PRX,Map_2_2Lotus,All,Jett,0.95,189,15,15,3,0,59%,138,26%,2,1,+1
mindfreak,PRX,Map_2_2Lotus,All,Omen,0.91,192,14,17,9,-3,77%,116,29%,0,1,-1
d4v41,PRX,Map_2_2Lotus,All,Fade,0.91,225,16,18,6,-2,77%,145,25%,2,2,0
Jinggg,PRX,Map_2_2Lotus,All,Neon,0.41,150,9,21,8,-12,59%,109,11%,3,8,-5
trent,G2,Map_2_2Lotus,Attack,Fade,1.11,253,9,8,1,+1,60%,173,38%,0,1,-1
icy,G2,Map_2_2Lotus,Attack,Raze,1.32,241,10,7,0,+3,70%,153,42%,2,0,+2
JonahP,G2,Map_2_2Lotus,Attack,Viper,0.81,188,6,8,2,-2,70%,121,29%,1,2,-1
leaf,G2,Map_2_2Lotus,Attack,Killjoy,0.93,177,6,7,1,-1,80%,126,17%,3,0,+3
valyn,G2,Map_2_2Lotus,Attack,Omen,0.70,159,4,7,7,-3,70%,93,20%,0,1,-1
f0rsakeN,PRX,Map_2_2Lotus,Attack,Kayo,1.54,290,12,9,7,+3,67%,175,39%,1,1,0
something,PRX,Map_2_2Lotus,Attack,Jett,0.41,134,5,11,1,-6,50%,98,21%,1,1,0
mindfreak,PRX,Map_2_2Lotus,Attack,Omen,0.62,154,6,11,5,-5,83%,89,50%,0,1,-1
d4v41,PRX,Map_2_2Lotus,Attack,Fade,1.20,301,11,10,2,+1,67%,206,31%,1,1,0
Jinggg,PRX,Map_2_2Lotus,Attack,Neon,0.05,92,2,12,2,-10,42%,80,12%,1,4,-3
trent,G2,Map_2_2Lotus,Defend,Fade,1.57,288,11,7,9,+4,75%,167,21%,2,0,+2
icy,G2,Map_2_2Lotus,Defend,Raze,1.08,200,8,7,1,+1,75%,144,26%,1,0,+1
JonahP,G2,Map_2_2Lotus,Defend,Viper,1.47,327,15,8,0,+7,67%,203,37%,2,3,-1
leaf,G2,Map_2_2Lotus,Defend,Killjoy,1.36,209,10,6,3,+4,83%,141,20%,1,0,+1
valyn,G2,Map_2_2Lotus,Defend,Omen,0.95,187,9,8,9,+1,92%,101,11%,2,1,+1
f0rsakeN,PRX,Map_2_2Lotus,Defend,Kayo,1.07,179,7,8,7,-1,90%,110,31%,0,1,-1
something,PRX,Map_2_2Lotus,Defend,Jett,1.60,256,10,4,2,+6,70%,187,30%,1,0,+1
mindfreak,PRX,Map_2_2Lotus,Defend,Omen,1.26,239,8,6,4,+2,70%,148,20%,0,0,0
d4v41,PRX,Map_2_2Lotus,Defend,Fade,0.57,135,5,8,4,-3,90%,72,11%,1,1,0
Jinggg,PRX,Map_2_2Lotus,Defend,Neon,0.84,221,7,9,6,-2,80%,145,10%,2,4,-2
