Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Karon,GEN,Map_3_3Bind,All,Brimstone,1.49,258,23,14,9,+9,70%,150,25%,3,2,+1
Meteor,GEN,Map_3_3Bind,All,Cypher,1.47,263,23,14,5,+9,78%,159,47%,3,1,+2
Munchkin,GEN,Map_3_3Bind,All,Viper,0.92,183,12,14,7,-2,70%,126,20%,3,1,+2
t3xture,GEN,Map_3_3Bind,All,Raze,0.55,141,8,18,5,-10,57%,116,20%,1,5,-4
Lakia,GEN,Map_3_3Bind,All,Skye,0.27,63,4,18,7,-14,52%,40,33%,1,3,-2
benjyfishy,TH,Map_3_3Bind,All,Viper,1.26,237,20,15,10,+5,78%,149,40%,1,2,-1
RieNs,TH,Map_3_3Bind,All,Gekko,1.26,230,19,14,5,+5,74%,136,28%,1,1,0
Boo,TH,Map_3_3Bind,All,Astra,1.05,169,13,12,10,+1,78%,103,41%,3,3,0
Wo0t,TH,Map_3_3Bind,All,Skye,0.97,159,13,14,9,-1,74%,105,28%,2,2,0
MiniBoo,TH,Map_3_3Bind,All,Yoru,0.80,162,13,15,3,-2,74%,106,38%,5,3,+2
Karon,GEN,Map_3_3Bind,Attack,Brimstone,1.46,233,11,6,4,+5,73%,135,44%,1,0,+1
Meteor,GEN,Map_3_3Bind,Attack,Cypher,1.64,267,11,5,3,+6,82%,162,58%,2,1,+1
Munchkin,GEN,Map_3_3Bind,Attack,Viper,1.18,242,8,6,3,+2,82%,161,14%,1,0,+1
t3xture,GEN,Map_3_3Bind,Attack,Raze,0.37,117,3,9,2,-6,55%,100,14%,0,3,-3
Lakia,GEN,Map_3_3Bind,Attack,Skye,0.12,35,1,8,3,-7,45%,19,25%,0,3,-3
benjyfishy,TH,Map_3_3Bind,Attack,Viper,1.37,255,11,7,4,+4,75%,168,43%,1,1,0
RieNs,TH,Map_3_3Bind,Attack,Gekko,1.27,232,11,7,3,+4,67%,122,41%,0,1,-1
Boo,TH,Map_3_3Bind,Attack,Astra,1.11,170,8,6,6,+2,75%,98,36%,0,1,-1
Wo0t,TH,Map_3_3Bind,Attack,Skye,1.17,191,8,7,7,+1,83%,133,29%,1,1,0
MiniBoo,TH,Map_3_3Bind,Attack,Yoru,0.64,163,6,9,3,-3,83%,116,29%,3,3,0
Karon,GEN,Map_3_3Bind,Defend,Brimstone,1.51,282,12,8,5,+4,67%,163,19%,2,2,0
Meteor,GEN,Map_3_3Bind,Defend,Cypher,1.31,261,12,9,2,+3,75%,157,38%,1,0,+1
Munchkin,GEN,Map_3_3Bind,Defend,Viper,0.67,129,4,8,4,-4,58%,94,29%,2,1,+1
t3xture,GEN,Map_3_3Bind,Defend,Raze,0.72,164,5,9,3,-4,58%,132,24%,1,2,-1
Lakia,GEN,Map_3_3Bind,Defend,Skye,0.41,89,3,10,4,-7,58%,59,36%,1,0,+1
benjyfishy,TH,Map_3_3Bind,Defend,Viper,1.14,218,9,8,6,+1,82%,128,37%,0,1,-1
RieNs,TH,Map_3_3Bind,Defend,Gekko,1.24,228,8,7,2,+1,82%,152,22%,1,0,+1
Boo,TH,Map_3_3Bind,Defend,Astra,1.00,169,5,6,4,-1,82%,108,43%,3,2,+1
Wo0t,TH,Map_3_3Bind,Defend,Skye,0.75,125,5,7,2,-2,64%,75,27%,1,1,0
MiniBoo,TH,Map_3_3Bind,Defend,Yoru,0.99,161,7,6,0,+1,64%,94,55%,2,0,+2
