Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
kiNgg,LEV,Map_1_1Bind,All,Brimstone,1.56,264,25,15,7,+10,67%,163,25%,3,2,+1
aspas,LEV,Map_1_1Bind,All,Raze,1.25,272,21,19,7,+2,63%,183,33%,6,3,+3
C0M,LEV,Map_1_1Bind,All,Viper,0.93,159,12,14,8,-2,63%,103,34%,1,4,-3
Mazino,LEV,Map_1_1Bind,All,Skye,0.63,117,9,17,9,-8,79%,88,30%,0,0,0
tex,LEV,Map_1_1Bind,All,Gekko,0.47,112,9,19,5,-10,58%,80,24%,1,4,-3
ban,TLN,Map_1_1Bind,All,Skye,1.32,190,18,12,10,+6,79%,122,38%,0,0,0
primmie,TLN,Map_1_1Bind,All,Yoru,1.15,222,18,14,10,+4,79%,138,35%,2,2,0
Governor,TLN,Map_1_1Bind,All,Neon,1.11,250,20,17,6,+3,71%,157,22%,5,4,+1
JitBoyS,TLN,Map_1_1Bind,All,Viper,1.05,220,18,17,2,+1,75%,143,47%,6,1,+5
Crws,TLN,Map_1_1Bind,All,Omen,0.59,125,10,16,7,-6,63%,94,15%,0,4,-4
kiNgg,LEV,Map_1_1Bind,Attack,Brimstone,1.67,284,13,8,3,+5,67%,178,36%,1,0,+1
aspas,LEV,Map_1_1Bind,Attack,Raze,1.04,251,10,10,2,0,58%,180,46%,1,3,-2
C0M,LEV,Map_1_1Bind,Attack,Viper,0.72,136,4,8,4,-4,50%,86,39%,1,3,-2
Mazino,LEV,Map_1_1Bind,Attack,Skye,0.59,116,5,10,4,-5,67%,82,44%,0,0,0
tex,LEV,Map_1_1Bind,Attack,Gekko,0.28,112,4,11,2,-7,58%,76,29%,1,2,-1
ban,TLN,Map_1_1Bind,Attack,Skye,0.68,111,4,8,5,-4,75%,73,31%,0,0,0
primmie,TLN,Map_1_1Bind,Attack,Yoru,1.21,206,8,7,6,+1,83%,140,36%,0,1,-1
Governor,TLN,Map_1_1Bind,Attack,Neon,1.24,272,11,7,2,+4,67%,185,26%,2,4,-2
JitBoyS,TLN,Map_1_1Bind,Attack,Viper,1.48,317,13,9,0,+4,75%,195,48%,3,0,+3
Crws,TLN,Map_1_1Bind,Attack,Omen,0.24,53,1,9,4,-8,67%,47,8%,0,2,-2
kiNgg,LEV,Map_1_1Bind,Defend,Brimstone,1.46,245,12,7,4,+5,67%,149,16%,2,2,0
aspas,LEV,Map_1_1Bind,Defend,Raze,1.46,295,11,9,5,+2,67%,186,24%,5,0,+5
C0M,LEV,Map_1_1Bind,Defend,Viper,1.14,183,8,6,4,+2,75%,119,31%,0,1,-1
Mazino,LEV,Map_1_1Bind,Defend,Skye,0.67,119,4,7,5,-3,92%,95,22%,0,0,0
tex,LEV,Map_1_1Bind,Defend,Gekko,0.66,114,5,8,3,-3,58%,84,20%,0,2,-2
ban,TLN,Map_1_1Bind,Defend,Skye,1.96,270,14,4,5,+10,83%,172,41%,0,0,0
primmie,TLN,Map_1_1Bind,Defend,Yoru,1.09,239,10,7,4,+3,75%,136,34%,2,1,+1
Governor,TLN,Map_1_1Bind,Defend,Neon,0.97,230,9,10,4,-1,75%,129,15%,3,0,+3
JitBoyS,TLN,Map_1_1Bind,Defend,Viper,0.61,124,5,8,2,-3,75%,91,45%,3,1,+2
Crws,TLN,Map_1_1Bind,Defend,Omen,0.94,199,9,7,3,+2,58%,142,17%,0,2,-2
