Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
aspas,LEV,Map_2_2Sunset,All,Neon,1.51,288,23,13,8,+10,86%,200,36%,5,3,+2
kiNgg,LEV,Map_2_2Sunset,All,Omen,1.19,203,17,12,5,+5,86%,138,38%,2,3,-1
C0M,LEV,Map_2_2Sunset,All,Sova,1.19,210,14,13,9,+1,68%,174,25%,3,0,+3
tex,LEV,Map_2_2Sunset,All,Cypher,1.05,222,18,16,4,+2,64%,140,30%,2,1,+1
Mazino,LEV,Map_2_2Sunset,All,Breach,0.91,173,15,16,10,-1,82%,92,41%,3,0,+3
heybay,TE,Map_2_2Sunset,All,Breach,1.24,229,18,17,12,+1,82%,159,36%,0,1,-1
Kai,TE,Map_2_2Sunset,All,Cypher,1.15,215,16,15,3,+1,73%,157,31%,2,2,0
Biank,TE,Map_2_2Sunset,All,Sova,0.73,159,11,17,11,-6,68%,99,4%,2,5,-3
LuoK1ng,TE,Map_2_2Sunset,All,Omen,0.71,146,13,18,7,-5,68%,79,46%,1,2,-1
FengF,TE,Map_2_2Sunset,All,Raze,0.61,182,12,20,5,-8,64%,134,27%,2,5,-3
aspas,LEV,Map_2_2Sunset,Attack,Neon,1.11,295,11,8,3,+3,80%,192,54%,5,2,+3
kiNgg,LEV,Map_2_2Sunset,Attack,Omen,1.03,180,7,6,2,+1,80%,128,47%,0,1,-1
C0M,LEV,Map_2_2Sunset,Attack,Sova,0.93,134,4,5,5,-1,70%,122,24%,0,0,0
tex,LEV,Map_2_2Sunset,Attack,Cypher,1.60,319,11,6,2,+5,70%,187,30%,1,0,+1
Mazino,LEV,Map_2_2Sunset,Attack,Breach,1.03,165,7,6,4,+1,90%,96,36%,1,0,+1
heybay,TE,Map_2_2Sunset,Attack,Breach,1.78,307,14,8,5,+6,92%,218,39%,0,0,0
Kai,TE,Map_2_2Sunset,Attack,Cypher,0.72,165,6,9,3,-3,67%,123,21%,0,2,-2
Biank,TE,Map_2_2Sunset,Attack,Sova,0.49,144,6,10,4,-4,67%,86,4%,1,4,-3
LuoK1ng,TE,Map_2_2Sunset,Attack,Omen,0.58,111,5,9,6,-4,67%,56,33%,1,0,+1
FengF,TE,Map_2_2Sunset,Attack,Raze,0.80,218,8,11,3,-3,67%,162,24%,2,2,0
aspas,LEV,Map_2_2Sunset,Defend,Neon,1.85,283,12,5,5,+7,92%,207,23%,0,1,-1
kiNgg,LEV,Map_2_2Sunset,Defend,Omen,1.32,223,10,6,3,+4,92%,147,33%,2,2,0
C0M,LEV,Map_2_2Sunset,Defend,Sova,1.41,275,10,8,4,+2,67%,217,25%,3,0,+3
tex,LEV,Map_2_2Sunset,Defend,Cypher,0.60,141,7,10,2,-3,58%,100,29%,1,1,0
Mazino,LEV,Map_2_2Sunset,Defend,Breach,0.81,182,8,10,6,-2,75%,88,46%,2,0,+2
heybay,TE,Map_2_2Sunset,Defend,Breach,0.58,136,4,9,7,-5,70%,88,28%,0,1,-1
Kai,TE,Map_2_2Sunset,Defend,Cypher,1.66,276,10,6,0,+4,80%,199,43%,2,0,+2
Biank,TE,Map_2_2Sunset,Defend,Sova,1.02,179,5,7,7,-2,70%,114,5%,1,1,0
LuoK1ng,TE,Map_2_2Sunset,Defend,Omen,0.87,190,8,9,1,-1,70%,107,56%,0,2,-2
FengF,TE,Map_2_2Sunset,Defend,Raze,0.39,140,4,9,2,-5,60%,100,33%,0,3,-3
