Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
kiNgg,LEV,Map_3_3Ascent,All,Omen,1.43,267,16,13,8,+3,78%,170,43%,1,4,-3
Mazino,LEV,Map_3_3Ascent,All,Deadlock,0.76,190,10,16,5,-6,56%,116,23%,2,3,-1
aspas,LEV,Map_3_3Ascent,All,Jett,0.72,174,13,15,0,-2,44%,107,26%,0,3,-3
tex,LEV,Map_3_3Ascent,All,Cypher,0.60,142,8,16,5,-8,67%,100,20%,0,3,-3
C0M,LEV,Map_3_3Ascent,All,Sova,0.48,125,9,16,1,-7,44%,72,13%,0,2,-2
Kai,TE,Map_3_3Ascent,All,Jett,1.57,281,19,10,5,+9,83%,191,30%,5,1,+4
FengF,TE,Map_3_3Ascent,All,Killjoy,1.53,300,21,11,1,+10,78%,198,32%,3,0,+3
LuoK1ng,TE,Map_3_3Ascent,All,Omen,1.16,219,14,11,10,+3,83%,133,36%,2,0,+2
Biank,TE,Map_3_3Ascent,All,Sova,1.15,230,13,12,12,+1,67%,151,11%,3,0,+3
heybay,TE,Map_3_3Ascent,All,Kayo,0.65,142,9,12,7,-3,72%,89,27%,2,2,0
kiNgg,LEV,Map_3_3Ascent,Attack,Omen,1.12,250,10,10,4,0,75%,159,44%,1,3,-2
Mazino,LEV,Map_3_3Ascent,Attack,Deadlock,0.71,174,6,11,3,-5,58%,105,38%,1,3,-2
aspas,LEV,Map_3_3Ascent,Attack,Jett,0.99,233,11,10,0,+1,50%,148,29%,0,1,-1
tex,LEV,Map_3_3Ascent,Attack,Cypher,0.71,166,7,11,2,-4,67%,113,18%,0,2,-2
C0M,LEV,Map_3_3Ascent,Attack,Sova,0.02,47,1,12,1,-11,33%,40,18%,0,1,-1
Kai,TE,Map_3_3Ascent,Attack,Jett,1.13,284,6,4,2,+2,67%,197,38%,1,1,0
FengF,TE,Map_3_3Ascent,Attack,Killjoy,2.22,441,10,4,0,+6,83%,284,52%,2,0,+2
LuoK1ng,TE,Map_3_3Ascent,Attack,Omen,0.60,100,1,4,5,-3,67%,74,33%,0,0,0
Biank,TE,Map_3_3Ascent,Attack,Sova,1.06,193,4,4,4,0,67%,104,19%,1,0,+1
heybay,TE,Map_3_3Ascent,Attack,Kayo,0.18,79,1,5,4,-4,67%,42,17%,1,0,+1
kiNgg,LEV,Map_3_3Ascent,Defend,Omen,2.04,303,6,3,4,+3,83%,194,42%,0,1,-1
Mazino,LEV,Map_3_3Ascent,Defend,Deadlock,0.85,226,4,5,2,-1,50%,138,15%,1,0,+1
aspas,LEV,Map_3_3Ascent,Defend,Jett,0.18,58,2,5,0,-3,33%,25,0%,0,2,-2
tex,LEV,Map_3_3Ascent,Defend,Cypher,0.38,94,1,5,3,-4,67%,75,23%,0,1,-1
C0M,LEV,Map_3_3Ascent,Defend,Sova,1.58,282,8,4,0,+4,67%,136,10%,0,1,-1
Kai,TE,Map_3_3Ascent,Defend,Jett,1.79,280,13,6,3,+7,92%,188,26%,4,0,+4
FengF,TE,Map_3_3Ascent,Defend,Killjoy,1.19,230,11,7,1,+4,75%,155,22%,1,0,+1
LuoK1ng,TE,Map_3_3Ascent,Defend,Omen,1.44,279,13,7,5,+6,92%,163,37%,2,0,+2
Biank,TE,Map_3_3Ascent,Defend,Sova,1.20,250,9,8,8,+1,67%,175,8%,2,0,+2
heybay,TE,Map_3_3Ascent,Defend,Kayo,0.89,175,8,7,3,+1,75%,113,30%,1,2,-1
