,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
TenZ SEN,,3 Round 5 Lysoar Autumn Round 6 Life Lysoar Round 16 Life Lysoar,1 Round 17 Lysoar AAAAY Autumn,,,,,,,,66,4,0
Sacy SEN,,,2 Round 6 AAAAY BerLIN Autumn Round 15 Autumn Life BerLIN,,,,,,,,56,1,0
Zellsis SEN,,3 Round 9 AAAAY Autumn Round 16 BerLIN AAAAY Round 18 Life AAAAY,2 Round 11 Autumn Life Lysoar Round 14 Autumn Lysoar BerLIN,,,,,,,,40,1,0
johnqt SEN,,1 Round 13 Life Lysoar,1 Round 19 AAAAY Autumn Life,1 Round 20 AAAAY BerLIN Autumn Life,,,1 Round 20 Life Autumn,,,,57,0,3
zekken SEN,,2 Round 7 AAAAY Life Round 18 BerLIN Lysoar,3 Round 4 BerLIN AAAAY Lysoar Round 13 AAAAY BerLIN Autumn Round 21 Life Lysoar AAAAY,,,,1 Round 13 Autumn BerLIN,,,,66,1,0
Autumn FPX,,3 Round 1 Sacy TenZ Round 3 Zellsis TenZ Round 7 zekken Sacy,2 Round 13 Sacy TenZ Zellsis Round 20 Sacy TenZ Zellsis,,,,,,,,55,0,1
Life FPX,,3 Round 8 johnqt TenZ Round 10 Sacy zekken Round 11 Sacy johnqt,1 Round 12 Sacy TenZ johnqt,,,,,,,,44,1,0
BerLIN FPX,,3 Round 1 johnqt zekken Round 8 zekken Sacy Round 12 zekken Zellsis,,,,,,,,,53,1,1
AAAAY FPX,,2 Round 2 TenZ Zellsis Round 10 Zellsis TenZ,,,,,,,,,46,1,1
Lysoar FPX,,1 Round 3 zekken Sacy,,,,,,,,,29,0,0
