,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
TenZ SEN,,5 Round 1 BerLIN AAAAY Round 5 BerLIN Lysoar Round 6 Lysoar AAAAY Round 8 Lysoar Autumn Round 9 Lysoar Life,1 Round 17 Life AAAAY Lysoar,,,,,,,,73,2,0
Sacy SEN,,2 Round 11 Life BerLIN Round 16 Life AAAAY,1 Round 2 Autumn Life AAAAY,,,1 Round 16 BerLIN,,,,,64,3,0
Zellsis SEN,,3 Round 7 BerLIN Lysoar Round 12 BerLIN AAAAY Round 18 Autumn Life,,,,,,,,,55,0,1
johnqt SEN,,2 Round 6 BerLIN Autumn Round 7 Life Autumn,1 Round 18 Lysoar BerLIN AAAAY,,,,1 Round 18 AAAAY BerLIN,,,,70,1,2
zekken SEN,,5 Round 1 Life Lysoar Round 8 Life AAAAY Round 9 Autumn BerLIN Round 11 AAAAY Lysoar Round 16 Autumn Lysoar,1 Round 15 Life BerLIN Lysoar,,,,,,,,87,0,2
Autumn FPX,,1 Round 10 johnqt zekken,,1 Round 14 Zellsis zekken Sacy TenZ,,,,,,,42,2,1
Life FPX,,3 Round 4 Sacy TenZ Round 11 TenZ zekken Round 13 johnqt zekken,,,,,,,,,35,0,0
BerLIN FPX,,3 Round 3 Sacy TenZ Round 6 TenZ Sacy Round 18 Zellsis TenZ,,1 Round 16 Zellsis zekken johnqt Sacy BerLIN,,,,,,,48,0,0
AAAAY FPX,,1 Round 18 Sacy zekken,,,,,,,,,25,6,0
Lysoar FPX,,1 Round 10 Sacy Zellsis,,,,,,,,,23,0,1
