Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
zekken,SEN,Map_1_1Bind,All,Raze,1.41,262,20,13,8,+7,86%,162,21%,3,3,0
johnqt,SEN,Map_1_1Bind,All,Viper,1.17,164,12,9,6,+3,76%,107,25%,2,2,0
TenZ,SEN,Map_1_1Bind,All,Gekko,1.11,185,14,12,5,+2,71%,120,21%,2,1,+1
Zellsis,SEN,Map_1_1Bind,All,Brimstone,1.11,221,17,14,11,+3,76%,112,16%,1,3,-2
Sacy,SEN,Map_1_1Bind,All,Fade,0.89,172,11,14,15,-3,81%,137,28%,2,2,0
Autumn,FPX,Map_1_1Bind,All,Chamber,1.14,253,20,16,0,+4,76%,143,44%,5,2,+3
BerLIN,FPX,Map_1_1Bind,All,Omen,1.07,197,15,14,5,+1,71%,137,24%,3,1,+2
AAAAY,FPX,Map_1_1Bind,All,Fade,0.91,137,10,12,6,-2,62%,106,24%,0,1,-1
Life,FPX,Map_1_1Bind,All,Yoru,0.72,174,12,17,3,-5,57%,120,39%,3,5,-2
Lysoar,FPX,Map_1_1Bind,All,Viper,0.56,84,5,15,10,-10,52%,70,29%,0,1,-1
zekken,SEN,Map_1_1Bind,Attack,Raze,1.03,205,8,9,4,-1,75%,117,13%,2,2,0
johnqt,SEN,Map_1_1Bind,Attack,Viper,0.45,43,1,7,2,-6,58%,36,8%,0,2,-2
TenZ,SEN,Map_1_1Bind,Attack,Gekko,1.09,183,8,8,2,0,75%,113,14%,1,0,+1
Zellsis,SEN,Map_1_1Bind,Attack,Brimstone,0.73,192,8,11,4,-3,67%,90,8%,0,3,-3
Sacy,SEN,Map_1_1Bind,Attack,Fade,0.60,149,5,10,8,-5,75%,133,21%,1,1,0
Autumn,FPX,Map_1_1Bind,Attack,Chamber,0.96,252,9,9,0,0,67%,141,60%,1,2,-1
BerLIN,FPX,Map_1_1Bind,Attack,Omen,0.45,129,4,9,1,-5,56%,109,33%,0,1,-1
AAAAY,FPX,Map_1_1Bind,Attack,Fade,0.59,104,2,8,3,-6,44%,80,14%,0,0,0
Life,FPX,Map_1_1Bind,Attack,Yoru,0.14,78,2,9,1,-7,33%,43,17%,2,2,0
Lysoar,FPX,Map_1_1Bind,Attack,Viper,0.03,31,0,9,4,-9,22%,28,0%,0,1,-1
zekken,SEN,Map_1_1Bind,Defend,Raze,1.93,341,12,4,4,+8,100%,223,29%,1,1,0
johnqt,SEN,Map_1_1Bind,Defend,Viper,2.12,326,11,2,4,+9,100%,201,33%,2,0,+2
TenZ,SEN,Map_1_1Bind,Defend,Gekko,1.13,190,6,4,3,+2,67%,128,36%,1,1,0
Zellsis,SEN,Map_1_1Bind,Defend,Brimstone,1.62,262,9,3,7,+6,89%,142,23%,1,0,+1
Sacy,SEN,Map_1_1Bind,Defend,Fade,1.27,205,6,4,7,+2,89%,143,40%,1,1,0
Autumn,FPX,Map_1_1Bind,Defend,Chamber,1.28,255,11,7,0,+4,83%,145,33%,4,0,+4
BerLIN,FPX,Map_1_1Bind,Defend,Omen,1.54,248,11,5,4,+6,83%,158,20%,3,0,+3
AAAAY,FPX,Map_1_1Bind,Defend,Fade,1.15,161,8,4,3,+4,75%,125,32%,0,1,-1
Life,FPX,Map_1_1Bind,Defend,Yoru,1.16,247,10,8,2,+2,75%,177,45%,1,3,-2
Lysoar,FPX,Map_1_1Bind,Defend,Viper,0.98,124,5,6,6,-1,75%,101,50%,0,0,0
