Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Sunset,1,"""0-1""",VIT,Attackers,Elimination
2Sunset,2,"""0-2""",VIT,Attackers,Spike Detonation
2Sunset,3,"""1-2""",TLN,Defenders,Elimination
2Sunset,4,"""2-2""",TLN,Defenders,Defuse
2Sunset,5,"""2-3""",VIT,Attackers,Elimination
2Sunset,6,"""2-4""",VIT,Attackers,Elimination
2Sunset,7,"""2-5""",VIT,Attackers,Elimination
2Sunset,8,"""3-5""",TLN,Defenders,Elimination
2Sunset,9,"""3-6""",VIT,Attackers,Elimination
2Sunset,10,"""4-6""",TLN,Defenders,Elimination
2Sunset,11,"""5-6""",TLN,Defenders,Elimination
2Sunset,12,"""6-6""",TLN,Defenders,Defuse
2Sunset,13,"""7-6""",VIT,Attackers,Spike Detonation
2Sunset,14,"""7-7""",TLN,Defenders,Elimination
2Sunset,15,"""7-8""",TLN,Defenders,Elimination
2Sunset,16,"""8-8""",VIT,Attackers,Elimination
2Sunset,17,"""8-9""",TLN,Defenders,Elimination
2Sunset,18,"""8-10""",TLN,Defenders,Elimination
2Sunset,19,"""8-11""",TLN,Defenders,Defuse
2Sunset,20,"""8-12""",TLN,Defenders,Elimination
2Sunset,21,"""8-13""",TLN,Defenders,Elimination
2Sunset,22,"""""",,,
2Sunset,23,"""""",,,
2Sunset,24,"""""",,,
