Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
MaKo,DRX,Map_2_2Haven,All,Omen,1.09,231,17,16,10,+1,81%,136,32%,1,1,0
Flashback,DRX,Map_2_2Haven,All,Cypher,1.04,235,17,16,3,+1,76%,151,26%,4,1,+3
BuZz,DRX,Map_2_2Haven,All,Jett,0.87,215,15,17,0,-2,57%,126,32%,5,6,-1
Foxy9,DRX,Map_2_2Haven,All,Breach,0.69,125,8,15,10,-7,62%,97,23%,0,2,-2
BeYN,DRX,Map_2_2Haven,All,Sova,0.65,127,10,16,4,-6,67%,91,17%,0,1,-1
Zellsis,SEN,Map_2_2Haven,All,Breach,1.48,227,17,10,16,+7,81%,142,14%,0,2,-2
zekken,SEN,Map_2_2Haven,All,Neon,1.46,349,27,16,7,+11,90%,217,30%,6,2,+4
Sacy,SEN,Map_2_2Haven,All,Sova,1.04,202,12,14,14,-2,76%,142,26%,3,3,0
TenZ,SEN,Map_2_2Haven,All,Omen,0.99,197,15,15,8,0,90%,124,29%,1,2,-1
johnqt,SEN,Map_2_2Haven,All,Cypher,0.86,104,9,12,8,-3,76%,58,22%,1,1,0
MaKo,DRX,Map_2_2Haven,Attack,Omen,1.03,224,8,8,0,0,67%,131,38%,0,1,-1
Flashback,DRX,Map_2_2Haven,Attack,Cypher,0.63,148,4,8,1,-4,56%,112,14%,1,0,+1
BuZz,DRX,Map_2_2Haven,Attack,Jett,0.44,148,4,8,0,-4,44%,86,67%,2,3,-1
Foxy9,DRX,Map_2_2Haven,Attack,Breach,0.39,91,2,8,4,-6,44%,69,8%,0,1,-1
BeYN,DRX,Map_2_2Haven,Attack,Sova,0.30,80,2,8,1,-6,33%,68,30%,0,1,-1
Zellsis,SEN,Map_2_2Haven,Attack,Breach,0.99,177,7,8,6,-1,75%,128,11%,0,2,-2
zekken,SEN,Map_2_2Haven,Attack,Neon,1.26,313,12,11,5,+1,92%,197,30%,3,2,+1
Sacy,SEN,Map_2_2Haven,Attack,Sova,1.05,211,8,9,6,-1,75%,150,40%,1,1,0
TenZ,SEN,Map_2_2Haven,Attack,Omen,0.78,211,9,11,3,-2,83%,141,26%,1,1,0
johnqt,SEN,Map_2_2Haven,Attack,Cypher,0.65,73,4,8,4,-4,58%,36,10%,0,1,-1
MaKo,DRX,Map_2_2Haven,Defend,Omen,1.14,237,9,8,10,+1,92%,140,29%,1,0,+1
Flashback,DRX,Map_2_2Haven,Defend,Cypher,1.34,302,13,8,2,+5,92%,180,32%,3,1,+2
BuZz,DRX,Map_2_2Haven,Defend,Jett,1.19,266,11,9,0,+2,67%,156,23%,3,3,0
Foxy9,DRX,Map_2_2Haven,Defend,Breach,0.91,150,6,7,6,-1,75%,118,33%,0,1,-1
BeYN,DRX,Map_2_2Haven,Defend,Sova,0.91,163,8,8,3,0,92%,108,12%,0,0,0
Zellsis,SEN,Map_2_2Haven,Defend,Breach,2.13,295,10,2,10,+8,89%,160,16%,0,0,0
zekken,SEN,Map_2_2Haven,Defend,Neon,1.74,398,15,5,2,+10,89%,244,30%,3,0,+3
Sacy,SEN,Map_2_2Haven,Defend,Sova,1.02,191,4,5,8,-1,78%,131,13%,2,2,0
TenZ,SEN,Map_2_2Haven,Defend,Omen,1.26,180,6,4,5,+2,100%,102,36%,0,1,-1
johnqt,SEN,Map_2_2Haven,Defend,Cypher,1.13,146,5,4,4,+1,100%,87,31%,1,0,+1
