Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Abyss,1,"""0-1""",G2,Defenders,Defuse
2Abyss,2,"""0-2""",G2,Defenders,Defuse
2Abyss,3,"""0-3""",G2,Defenders,Defuse
2Abyss,4,"""0-4""",G2,Defenders,Elimination
2Abyss,5,"""1-4""",LEV,Attackers,Spike Detonation
2Abyss,6,"""2-4""",LEV,Attackers,Spike Detonation
2Abyss,7,"""2-5""",G2,Defenders,Defuse
2Abyss,8,"""2-6""",G2,Defenders,Defuse
2Abyss,9,"""2-7""",G2,Defenders,Defuse
2Abyss,10,"""2-8""",G2,Defenders,Elimination
2Abyss,11,"""3-8""",LEV,Attackers,Elimination
2Abyss,12,"""4-8""",LEV,Attackers,Elimination
2Abyss,13,"""4-9""",LEV,Attackers,Elimination
2Abyss,14,"""4-10""",LEV,Attackers,Elimination
2Abyss,15,"""4-11""",LEV,Attackers,Elimination
2Abyss,16,"""5-11""",G2,Defenders,Defuse
2Abyss,17,"""5-12""",LEV,Attackers,Elimination
2Abyss,18,"""5-13""",LEV,Attackers,Elimination
2Abyss,19,"""""",,,
2Abyss,20,"""""",,,
2Abyss,21,"""""",,,
2Abyss,22,"""""",,,
2Abyss,23,"""""",,,
2Abyss,24,"""""",,,
