,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,2 Round 17 RieNs Wo0t Round 20 MiniBoo Wo0t,1 Round 19 benjyfishy RieNs Wo0t,,,,,,,,48,5,3
tex LEV,,1 Round 13 MiniBoo RieNs,1 Round 2 Wo0t MiniBoo RieNs,,,,,,,,48,0,0
Mazino LEV,,6 Round 1 Wo0t RieNs Round 3 benjyfishy Wo0t Round 12 Wo0t RieNs Round 14 benjyfishy RieNs Round 16 benjyfishy Boo Round 20 RieNs Boo,1 Round 21 MiniBoo benjyfishy Wo0t,,,1 Round 16 Boo,,,,,67,4,3
aspas LEV,,2 Round 2 benjyfishy Boo Round 4 Wo0t benjyfishy,1 Round 7 Wo0t RieNs MiniBoo,,,1 Round 19 Boo,,,,,55,0,1
kiNgg LEV,,4 Round 12 MiniBoo benjyfishy Round 13 Wo0t benjyfishy Round 16 RieNs Wo0t Round 17 Boo MiniBoo,1 Round 22 Wo0t benjyfishy MiniBoo,,,,,,,,49,1,0
Boo TH,,4 Round 5 C0M kiNgg Round 10 tex C0M Round 19 tex C0M Round 21 kiNgg Mazino,,,,1 Round 10 C0M,,,,,57,1,1
RieNs TH,,3 Round 9 aspas kiNgg Round 11 kiNgg C0M Round 18 tex aspas,,,,2 Round 3 Mazino Round 18 aspas,,,,,59,0,2
MiniBoo TH,,1 Round 16 C0M aspas,,,,,,,,,30,0,0
Wo0t TH,,3 Round 10 aspas Mazino Round 13 tex Mazino Round 18 Mazino C0M,1 Round 3 kiNgg C0M tex,,,,,,,,54,8,1
benjyfishy TH,,2 Round 1 aspas Mazino Round 11 tex aspas,1 Round 15 Mazino C0M kiNgg,1 Round 6 aspas kiNgg Mazino tex,,,,,,,68,0,1
