,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,1 Round 13 RieNs benjyfishy,,,,,,,,,32,0,0
tex LEV,,2 Round 4 Boo Wo0t Round 10 RieNs Wo0t,1 Round 3 RieNs benjyfishy MiniBoo,,,,,,,,45,0,0
Mazino LEV,,2 Round 5 Wo0t Boo Round 14 Boo benjyfishy,,,,,,,,,40,3,0
aspas LEV,,1 Round 7 aspas MiniBoo,,,,,,,,,43,0,0
kiNgg LEV,,,,,,,,,,,40,0,0
Boo TH,,3 Round 10 tex kiNgg Round 15 C0M aspas Round 16 C0M aspas,1 Round 7 Mazino kiNgg C0M,,,1 Round 12 C0M,,,,,78,7,0
RieNs TH,,5 Round 2 tex aspas Round 5 aspas tex Round 8 tex kiNgg Round 9 aspas Mazino Round 15 tex Mazino,,,,,,,,,66,2,0
MiniBoo TH,,4 Round 1 tex aspas Round 4 Mazino tex Round 8 C0M Mazino Round 10 Mazino aspas,1 Round 12 tex aspas kiNgg,,,,,,,,77,1,0
Wo0t TH,,2 Round 4 C0M aspas Round 6 aspas tex,,,,,,,,,46,1,1
benjyfishy TH,,3 Round 1 C0M Mazino Round 13 tex aspas Round 16 tex Mazino,1 Round 6 kiNgg C0M Mazino,,,1 Round 5 Mazino,,,,,71,0,0
