,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,,1 Round 2 MaKo BuZz Foxy9,,,1 Round 10 BeYN,,,,,38,0,1
RieNs TH,,3 Round 5 BuZz BeYN Round 11 MaKo BuZz Round 16 MaKo BeYN,2 Round 17 Foxy9 MaKo BeYN Round 23 BuZz MaKo BeYN,,,,,,,,74,1,0
MiniBoo TH,,6 Round 3 BuZz Flashback Round 10 Foxy9 BuZz Round 15 Flashback MaKo Round 21 BeYN MaKo Round 22 Flashback MaKo Round 23 Foxy9 Flashback,1 Round 6 BeYN BuZz MaKo MiniBoo,,,,,,,,63,0,0
Wo0t TH,,3 Round 10 Flashback MaKo Round 13 Foxy9 BuZz Round 20 BuZz BeYN,1 Round 4 BuZz BeYN Flashback,1 Round 12 BuZz Foxy9 BeYN MaKo,,1 Round 12 MaKo,,,,,56,6,1
benjyfishy TH,,3 Round 7 BuZz MaKo Round 15 Foxy9 BeYN Round 19 MaKo BuZz,2 Round 1 Flashback Foxy9 BeYN Round 9 BuZz BeYN Flashback,,,1 Round 1 BeYN,,,,,69,2,2
BuZz DRX,,2 Round 9 MiniBoo RieNs Round 12 Boo benjyfishy,1 Round 14 RieNs Wo0t Boo,,,,,,,,42,0,0
MaKo DRX,,2 Round 3 RieNs Boo Round 7 MiniBoo RieNs,,1 Round 6 Wo0t RieNs Boo benjyfishy,1 Round 5 benjyfishy MiniBoo RieNs Wo0t Boo,,,,1 Round 5 Boo Wo0t RieNs MiniBoo,,69,1,0
BeYN DRX,,1 Round 1 Boo RieNs,2 Round 10 benjyfishy MiniBoo Wo0t Round 11 benjyfishy RieNs Boo,,,,1 Round 11 Boo RieNs,,,,35,1,0
Foxy9 DRX,,,2 Round 9 Wo0t Boo benjyfishy Round 18 Wo0t MiniBoo RieNs,,,2 Round 6 MiniBoo Round 9 benjyfishy,,,,,44,9,0
Flashback DRX,,2 Round 8 RieNs Wo0t Round 18 Boo benjyfishy,,1 Round 13 RieNs Wo0t MiniBoo benjyfishy,,,,1 Round 13 Wo0t MiniBoo benjyfishy,,,40,0,1
