,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,3 Round 3 Alfajer Derke Round 12 hiro Chronicle Round 16 Alfajer Chronicle,,,,,,,,,55,0,0
RieNs TH,,2 Round 2 Boaster hiro Round 9 Derke Chronicle,,,,,,,,,70,0,0
MiniBoo TH,,2 Round 13 Derke Chronicle Round 15 Boaster Alfajer,1 Round 10 Alfajer hiro Chronicle,,,1 Round 10 Derke,,,,,51,2,0
Wo0t TH,,7 Round 1 Alfajer Derke Round 2 Chronicle Alfajer Round 6 Derke Chronicle Round 8 Alfajer Derke Round 14 Boaster Chronicle Round 15 Derke hiro Round 16 Boaster hiro,,,,,,,,,83,1,3
benjyfishy TH,,2 Round 4 Chronicle Derke Round 11 Chronicle Alfajer,1 Round 1 hiro Boaster Chronicle,,,,1 Round 11 Alfajer Chronicle,,,,53,0,2
Boaster FNC,,,,,,,,,,,22,4,0
Chronicle FNC,,,,,,,,,,,35,0,0
Derke FNC,,3 Round 4 Wo0t RieNs Round 5 MiniBoo Boo Round 12 Boo MiniBoo,1 Round 10 benjyfishy Boo Wo0t,,,,,,,,62,1,0
Alfajer FNC,,,,,,,,,,,37,1,0
hiro FNC,,2 Round 6 Wo0t benjyfishy Round 7 RieNs MiniBoo,,,,,,,,,44,2,0
