Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Lotus,1,"""0-1""",DRG,Defenders,Defuse
3Lotus,2,"""1-1""",WOL,Attackers,Elimination
3Lotus,3,"""1-2""",DRG,Defenders,Elimination
3Lotus,4,"""1-3""",DRG,Defenders,Defuse
3Lotus,5,"""1-4""",DRG,Defenders,Defuse
3Lotus,6,"""1-5""",DRG,Defenders,Defuse
3Lotus,7,"""1-6""",DRG,Defenders,Defuse
3Lotus,8,"""1-7""",DRG,Defenders,Elimination
3Lotus,9,"""1-8""",DRG,Defenders,Defuse
3Lotus,10,"""1-9""",DRG,Defenders,Elimination
3Lotus,11,"""2-9""",WOL,Attackers,Elimination
3Lotus,12,"""2-10""",DRG,Defenders,Defuse
3Lotus,13,"""3-10""",DRG,Defenders,Defuse
3Lotus,14,"""4-10""",DRG,Defenders,Defuse
3Lotus,15,"""4-11""",WOL,Attackers,Elimination
3Lotus,16,"""4-12""",WOL,Attackers,Elimination
3Lotus,17,"""4-13""",WOL,Attackers,Elimination
3Lotus,18,"""""",,,
3Lotus,19,"""""",,,
3Lotus,20,"""""",,,
3Lotus,21,"""""",,,
3Lotus,22,"""""",,,
3Lotus,23,"""""",,,
3Lotus,24,"""""",,,
