Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Rarga,XLG,All_Maps,All,"Jett, Neon",,245,39,41,8,-2,,,,,,
Viva,XLG,All_Maps,All,"Omen, Cypher",,185,34,38,13,-4,,,,,,
YOU,XLG,All_Maps,All,"Sova, Breach",,182,31,36,15,-5,,,,,,
coconut,XLG,All_Maps,All,"Kayo, Sova",,167,26,38,16,-12,,,,,,
happywei,XLG,All_Maps,All,"Astra, Omen",,145,23,40,12,-17,,,,,,
Z1yan,JDG,All_Maps,All,"Astra, Vyse",,254,42,34,14,+8,,,,,,
stew,JDG,All_Maps,All,"Jett, Neon",,231,42,32,12,+10,,,,,,
Babyblue,JDG,All_Maps,All,"Sova, Fade",,228,37,30,17,+7,,,,,,
jkuro,JDG,All_Maps,All,"Omen, Astra",,218,37,29,18,+8,,,,,,
MrCANI,JDG,All_Maps,All,"Kayo, Omen",,197,35,28,22,+7,,,,,,
Rarga,XLG,All_Maps,Attack,"Jett, Neon",,,,,,,,,
Viva,XLG,All_Maps,Attack,"Omen, Cypher",,,,,,,,,
YOU,XLG,All_Maps,Attack,"Sova, Breach",,,,,,,,,
coconut,XLG,All_Maps,Attack,"Kayo, Sova",,,,,,,,,
happywei,XLG,All_Maps,Attack,"Astra, Omen",,,,,,,,,
Z1yan,JDG,All_Maps,Attack,"Astra, Vyse",,,,,,,,,
stew,JDG,All_Maps,Attack,"Jett, Neon",,,,,,,,,
Babyblue,JDG,All_Maps,Attack,"Sova, Fade",,,,,,,,,
jkuro,JDG,All_Maps,Attack,"Omen, Astra",,,,,,,,,
MrCANI,JDG,All_Maps,Attack,"Kayo, Omen",,,,,,,,,
Rarga,XLG,All_Maps,Defend,"Jett, Neon",,,,,,,,,
Viva,XLG,All_Maps,Defend,"Omen, Cypher",,,,,,,,,
YOU,XLG,All_Maps,Defend,"Sova, Breach",,,,,,,,,
coconut,XLG,All_Maps,Defend,"Kayo, Sova",,,,,,,,,
happywei,XLG,All_Maps,Defend,"Astra, Omen",,,,,,,,,
Z1yan,JDG,All_Maps,Defend,"Astra, Vyse",,,,,,,,,
stew,JDG,All_Maps,Defend,"Jett, Neon",,,,,,,,,
Babyblue,JDG,All_Maps,Defend,"Sova, Fade",,,,,,,,,
jkuro,JDG,All_Maps,Defend,"Omen, Astra",,,,,,,,,
MrCANI,JDG,All_Maps,Defend,"Kayo, Omen",,,,,,,,,
