Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Abyss,1,"""1-0""",JDG,Attackers,Elimination
1Abyss,2,"""1-1""",XLG,Defenders,Elimination
1Abyss,3,"""1-2""",XLG,Defenders,Defuse
1Abyss,4,"""2-2""",JDG,Attackers,Elimination
1Abyss,5,"""2-3""",XLG,Defenders,Defuse
1Abyss,6,"""3-3""",JDG,Attackers,Elimination
1Abyss,7,"""3-4""",XLG,Defenders,Defuse
1Abyss,8,"""4-4""",JDG,Attackers,Spike Detonation
1Abyss,9,"""5-4""",JDG,Attackers,Elimination
1Abyss,10,"""5-5""",XLG,Defenders,Defuse
1Abyss,11,"""6-5""",JDG,Attackers,Spike Detonation
1Abyss,12,"""7-5""",JDG,Attackers,Elimination
1Abyss,13,"""8-5""",XLG,Defenders,Defuse
1Abyss,14,"""8-6""",JDG,Attackers,Elimination
1Abyss,15,"""8-7""",JDG,Attackers,Elimination
1Abyss,16,"""9-7""",XLG,Defenders,Defuse
1Abyss,17,"""10-7""",XLG,Defenders,Defuse
1Abyss,18,"""10-8""",JDG,Attackers,Elimination
1Abyss,19,"""11-8""",XLG,Defenders,Defuse
1Abyss,20,"""11-9""",JDG,Attackers,Elimination
1Abyss,21,"""12-9""",XLG,Defenders,Defuse
1Abyss,22,"""12-10""",JDG,Attackers,Spike Detonation
1Abyss,23,"""12-11""",JDG,Attackers,Spike Detonation
1Abyss,24,"""12-12""",JDG,Attackers,Elimination
1Abyss,25,"""13-12""",JDG,Attackers,Elimination
1Abyss,26,"""13-13""",JDG,Attackers,Elimination
1Abyss,27,"""13-14""",XLG,Defenders,Defuse
1Abyss,28,"""14-14""",XLG,Defenders,Defuse
1Abyss,29,"""14-15""",XLG,Defenders,Elimination
1Abyss,30,"""14-16""",JDG,Attackers,Elimination
