Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Sunset,1,"""1-0""",TYL,Attackers,Elimination
1Sunset,2,"""2-0""",TYL,Attackers,Elimination
1Sunset,3,"""3-0""",TYL,Attackers,Elimination
1Sunset,4,"""4-0""",TYL,Attackers,Elimination
1Sunset,5,"""4-1""",JDG,Defenders,Elimination
1Sunset,6,"""4-2""",JDG,Defenders,Defuse
1Sunset,7,"""4-3""",JDG,Defenders,Elimination
1Sunset,8,"""4-4""",JDG,Defenders,Defuse
1Sunset,9,"""5-4""",TYL,Attackers,Elimination
1Sunset,10,"""5-5""",JDG,Defenders,Elimination
1Sunset,11,"""5-6""",JDG,Defenders,Elimination
1Sunset,12,"""5-7""",JDG,Defenders,Elimination
1Sunset,13,"""5-8""",TYL,Attackers,Elimination
1Sunset,14,"""5-9""",TYL,Attackers,Spike Detonation
1Sunset,15,"""5-10""",TYL,Attackers,Elimination
1Sunset,16,"""5-11""",TYL,Attackers,Elimination
1Sunset,17,"""6-11""",JDG,Defenders,Elimination
1Sunset,18,"""7-11""",JDG,Defenders,Time Expired
1Sunset,19,"""7-12""",TYL,Attackers,Elimination
1Sunset,20,"""7-13""",TYL,Attackers,Elimination
1Sunset,21,"""""",,,
1Sunset,22,"""""",,,
1Sunset,23,"""""",,,
1Sunset,24,"""""",,,
