Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""1-0""",NOVA,Attackers,Elimination
1Lotus,2,"""2-0""",NOVA,Attackers,Spike Detonation
1Lotus,3,"""3-0""",NOVA,Attackers,Elimination
1Lotus,4,"""4-0""",NOVA,Attackers,Elimination
1Lotus,5,"""5-0""",NOVA,Attackers,Elimination
1Lotus,6,"""6-0""",NOVA,Attackers,Elimination
1Lotus,7,"""7-0""",NOVA,Attackers,Elimination
1Lotus,8,"""8-0""",NOVA,Attackers,Spike Detonation
1Lotus,9,"""9-0""",NOVA,Attackers,Elimination
1Lotus,10,"""9-1""",FPX,Defenders,Defuse
1Lotus,11,"""10-1""",NOVA,Attackers,Elimination
1Lotus,12,"""10-2""",FPX,Defenders,Defuse
1Lotus,13,"""10-3""",NOVA,Attackers,Elimination
1Lotus,14,"""10-4""",NOVA,Attackers,Elimination
1Lotus,15,"""11-4""",FPX,Defenders,Elimination
1Lotus,16,"""12-4""",FPX,Defenders,Elimination
1Lotus,17,"""13-4""",FPX,Defenders,Defuse
1Lotus,18,"""""",,,
1Lotus,19,"""""",,,
1Lotus,20,"""""",,,
1Lotus,21,"""""",,,
1Lotus,22,"""""",,,
1Lotus,23,"""""",,,
1Lotus,24,"""""",,,
