Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Ascent,1,"""0-1""",JDG,Attackers,Elimination
3Ascent,2,"""0-2""",JDG,Attackers,Elimination
3Ascent,3,"""1-2""",TEC,Defenders,Elimination
3Ascent,4,"""1-3""",JDG,Attackers,Elimination
3Ascent,5,"""1-4""",JDG,Attackers,Elimination
3Ascent,6,"""2-4""",TEC,Defenders,Elimination
3Ascent,7,"""3-4""",TEC,Defenders,Elimination
3Ascent,8,"""4-4""",TEC,Defenders,Elimination
3Ascent,9,"""4-5""",JDG,Attackers,Elimination
3Ascent,10,"""4-6""",JDG,Attackers,Elimination
3Ascent,11,"""4-7""",JDG,Attackers,Elimination
3Ascent,12,"""5-7""",TEC,Defenders,Elimination
3Ascent,13,"""6-7""",JDG,Attackers,Elimination
3Ascent,14,"""6-8""",TEC,Defenders,Elimination
3Ascent,15,"""6-9""",TEC,Defenders,Elimination
3Ascent,16,"""6-10""",TEC,Defenders,Time Expired
3Ascent,17,"""6-11""",TEC,Defenders,Elimination
3Ascent,18,"""7-11""",JDG,Attackers,Elimination
3Ascent,19,"""7-12""",TEC,Defenders,Defuse
3Ascent,20,"""7-13""",TEC,Defenders,Elimination
3Ascent,21,"""""",,,
3Ascent,22,"""""",,,
3Ascent,23,"""""",,,
3Ascent,24,"""""",,,
