Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Sunset,1,"""1-0""",JDG,Attackers,Elimination
2Sunset,2,"""2-0""",JDG,Attackers,Elimination
2Sunset,3,"""3-0""",JDG,Attackers,Elimination
2Sunset,4,"""4-0""",JDG,Attackers,Elimination
2Sunset,5,"""5-0""",JDG,Attackers,Spike Detonation
2Sunset,6,"""5-1""",TE,Defenders,Defuse
2Sunset,7,"""6-1""",JDG,Attackers,Elimination
2Sunset,8,"""7-1""",JDG,Attackers,Spike Detonation
2Sunset,9,"""7-2""",TE,Defenders,Defuse
2Sunset,10,"""7-3""",TE,Defenders,Defuse
2Sunset,11,"""8-3""",JDG,Attackers,Elimination
2Sunset,12,"""9-3""",JDG,Attackers,Elimination
2Sunset,13,"""10-3""",TE,Defenders,Defuse
2Sunset,14,"""11-3""",TE,Defenders,Elimination
2Sunset,15,"""12-3""",TE,Defenders,Elimination
2Sunset,16,"""13-3""",TE,Defenders,Elimination
2Sunset,17,"""""",,,
2Sunset,18,"""""",,,
2Sunset,19,"""""",,,
2Sunset,20,"""""",,,
2Sunset,21,"""""",,,
2Sunset,22,"""""",,,
2Sunset,23,"""""",,,
2Sunset,24,"""""",,,
