Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
heybay,NOVA,Map_4_4Sunset,All,Fade,,,,,,,,,,,,
GREEN,NOVA,Map_4_4Sunset,All,Yoru,,,,,,,,,,,,
OBONE,NOVA,Map_4_4Sunset,All,Omen,,,,,,,,,,,,
GuanG,NOVA,Map_4_4Sunset,All,Neon,,,,,,,,,,,,
Ezeir,NOVA,Map_4_4Sunset,All,Cypher,,,,,,,,,,,,
Life,FPX,Map_4_4Sunset,All,Waylay,,,,,,,,,,,,
York,FPX,Map_4_4Sunset,All,Omen,,,,,,,,,,,,
BerLIN,FPX,Map_4_4Sunset,All,Breach,,,,,,,,,,,,
AAAAY,FPX,Map_4_4Sunset,All,Cypher,,,,,,,,,,,,
Setrod,FPX,Map_4_4Sunset,All,Sova,,,,,,,,,,,,
heybay,NOVA,Map_4_4Sunset,Attack,Fade,,,,,,,,,,,,
GREEN,NOVA,Map_4_4Sunset,Attack,Yoru,,,,,,,,,,,,
OBONE,NOVA,Map_4_4Sunset,Attack,Omen,,,,,,,,,,,,
GuanG,NOVA,Map_4_4Sunset,Attack,Neon,,,,,,,,,,,,
Ezeir,NOVA,Map_4_4Sunset,Attack,Cypher,,,,,,,,,,,,
Life,FPX,Map_4_4Sunset,Attack,Waylay,,,,,,,,,,,,
York,FPX,Map_4_4Sunset,Attack,Omen,,,,,,,,,,,,
BerLIN,FPX,Map_4_4Sunset,Attack,Breach,,,,,,,,,,,,
AAAAY,FPX,Map_4_4Sunset,Attack,Cypher,,,,,,,,,,,,
Setrod,FPX,Map_4_4Sunset,Attack,Sova,,,,,,,,,,,,
heybay,NOVA,Map_4_4Sunset,Defend,Fade,,,,,,,,,,,,
GREEN,NOVA,Map_4_4Sunset,Defend,Yoru,,,,,,,,,,,,
OBONE,NOVA,Map_4_4Sunset,Defend,Omen,,,,,,,,,,,,
GuanG,NOVA,Map_4_4Sunset,Defend,Neon,,,,,,,,,,,,
Ezeir,NOVA,Map_4_4Sunset,Defend,Cypher,,,,,,,,,,,,
Life,FPX,Map_4_4Sunset,Defend,Waylay,,,,,,,,,,,,
York,FPX,Map_4_4Sunset,Defend,Omen,,,,,,,,,,,,
BerLIN,FPX,Map_4_4Sunset,Defend,Breach,,,,,,,,,,,,
AAAAY,FPX,Map_4_4Sunset,Defend,Cypher,,,,,,,,,,,,
Setrod,FPX,Map_4_4Sunset,Defend,Sova,,,,,,,,,,,,
