Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
eeiu,100T,Map_2_2Pearl,All,Fade,0.99,198,16,15,5,+1,73%,122,51%,1,2,-1
Asuna,100T,Map_2_2Pearl,All,Kayo,0.88,156,12,14,10,-2,64%,102,29%,2,2,0
Cryocells,100T,Map_2_2Pearl,All,Jett,0.77,185,15,15,1,0,68%,112,16%,1,2,-1
Boostio,100T,Map_2_2Pearl,All,Vyse,0.66,162,12,18,5,-6,68%,101,20%,3,2,+1
zander,100T,Map_2_2Pearl,All,Astra,0.44,147,11,20,8,-9,64%,91,32%,1,6,-5
mada,NRG,Map_2_2Pearl,All,Jett,1.66,326,26,15,4,+11,86%,211,26%,6,2,+4
s0m,NRG,Map_2_2Pearl,All,Astra,1.47,258,19,12,8,+7,91%,160,19%,6,1,+5
FiNESSE,NRG,Map_2_2Pearl,All,Breach,1.17,158,13,10,13,+3,77%,99,20%,0,1,-1
Ethan,NRG,Map_2_2Pearl,All,Tejo,0.85,172,13,15,5,-2,91%,111,29%,1,4,-3
Verno,NRG,Map_2_2Pearl,All,Vyse,0.84,123,11,14,6,-3,82%,85,23%,1,0,+1
eeiu,100T,Map_2_2Pearl,Attack,Fade,1.16,290,11,9,0,+2,70%,171,52%,0,1,-1
Asuna,100T,Map_2_2Pearl,Attack,Kayo,0.74,185,6,9,5,-3,70%,122,36%,2,1,+1
Cryocells,100T,Map_2_2Pearl,Attack,Jett,0.58,178,6,9,1,-3,60%,118,40%,0,2,-2
Boostio,100T,Map_2_2Pearl,Attack,Vyse,0.29,102,3,9,3,-6,60%,61,8%,0,1,-1
zander,100T,Map_2_2Pearl,Attack,Astra,0.44,140,5,9,3,-4,70%,89,56%,0,3,-3
mada,NRG,Map_2_2Pearl,Attack,Jett,1.38,275,11,9,4,+2,92%,194,26%,2,2,0
s0m,NRG,Map_2_2Pearl,Attack,Astra,1.34,207,8,6,4,+2,83%,122,39%,3,0,+3
FiNESSE,NRG,Map_2_2Pearl,Attack,Breach,1.05,154,7,5,3,+2,67%,110,29%,0,1,-1
Ethan,NRG,Map_2_2Pearl,Attack,Tejo,1.00,183,8,7,2,+1,92%,112,26%,1,3,-2
Verno,NRG,Map_2_2Pearl,Attack,Vyse,0.55,74,3,8,3,-5,83%,56,27%,0,0,0
eeiu,100T,Map_2_2Pearl,Defend,Fade,0.84,123,5,6,5,-1,75%,81,50%,1,1,0
Asuna,100T,Map_2_2Pearl,Defend,Kayo,0.99,132,6,5,5,+1,58%,87,20%,0,1,-1
Cryocells,100T,Map_2_2Pearl,Defend,Jett,0.92,192,9,6,0,+3,75%,107,3%,1,0,+1
Boostio,100T,Map_2_2Pearl,Defend,Vyse,0.97,213,9,9,2,0,75%,135,25%,3,1,+2
zander,100T,Map_2_2Pearl,Defend,Astra,0.44,153,6,11,5,-5,58%,92,21%,1,3,-2
mada,NRG,Map_2_2Pearl,Defend,Jett,1.99,389,15,6,0,+9,80%,232,26%,4,0,+4
s0m,NRG,Map_2_2Pearl,Defend,Astra,1.62,320,11,6,4,+5,100%,207,14%,3,1,+2
FiNESSE,NRG,Map_2_2Pearl,Defend,Breach,1.33,164,6,5,10,+1,90%,86,11%,0,0,0
Ethan,NRG,Map_2_2Pearl,Defend,Tejo,0.66,160,5,8,3,-3,90%,111,32%,0,1,-1
Verno,NRG,Map_2_2Pearl,Defend,Vyse,1.20,182,8,6,3,+2,80%,121,21%,1,0,+1
