Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
zander,100T,Map_3_3Bind,All,Viper,1.20,240,19,15,5,+4,82%,148,39%,5,0,+5
Cryocells,100T,Map_3_3Bind,All,Brimstone,0.89,167,13,16,4,-3,82%,107,50%,2,0,+2
Asuna,100T,Map_3_3Bind,All,Raze,0.85,202,12,17,7,-5,64%,138,15%,5,3,+2
eeiu,100T,Map_3_3Bind,All,Fade,0.75,183,15,17,3,-2,73%,107,42%,2,1,+1
Boostio,100T,Map_3_3Bind,All,Gekko,0.35,90,7,18,6,-11,55%,53,38%,1,3,-2
mada,NRG,Map_3_3Bind,All,Raze,1.54,321,27,14,1,+13,82%,175,14%,4,6,-2
Verno,NRG,Map_3_3Bind,All,Fade,1.32,258,21,14,10,+7,77%,161,39%,1,2,-1
s0m,NRG,Map_3_3Bind,All,Brimstone,1.08,174,13,12,16,+1,91%,103,15%,0,3,-3
FiNESSE,NRG,Map_3_3Bind,All,Viper,1.03,155,11,11,8,0,77%,103,8%,2,2,0
Ethan,NRG,Map_3_3Bind,All,Kayo,0.91,158,11,15,15,-4,73%,109,24%,0,2,-2
zander,100T,Map_3_3Bind,Attack,Viper,1.19,232,10,8,1,+2,75%,140,39%,3,0,+3
Cryocells,100T,Map_3_3Bind,Attack,Brimstone,0.90,177,8,9,1,-1,67%,110,47%,0,0,0
Asuna,100T,Map_3_3Bind,Attack,Raze,0.77,189,6,10,3,-4,58%,133,15%,4,1,+3
eeiu,100T,Map_3_3Bind,Attack,Fade,0.78,182,8,9,3,-1,83%,107,73%,0,1,-1
Boostio,100T,Map_3_3Bind,Attack,Gekko,0.46,87,4,9,5,-5,67%,47,43%,1,2,-1
mada,NRG,Map_3_3Bind,Attack,Raze,1.21,260,10,7,1,+3,60%,147,26%,0,5,-5
Verno,NRG,Map_3_3Bind,Attack,Fade,1.65,289,10,6,6,+4,100%,173,30%,1,0,+1
s0m,NRG,Map_3_3Bind,Attack,Brimstone,1.16,163,6,5,6,+1,90%,99,20%,0,0,0
FiNESSE,NRG,Map_3_3Bind,Attack,Viper,1.23,213,8,5,2,+3,90%,135,13%,2,2,0
Ethan,NRG,Map_3_3Bind,Attack,Kayo,0.85,130,4,7,7,-3,60%,102,22%,0,0,0
zander,100T,Map_3_3Bind,Defend,Viper,1.22,250,9,7,4,+2,90%,158,38%,2,0,+2
Cryocells,100T,Map_3_3Bind,Defend,Brimstone,0.88,155,5,7,3,-2,100%,104,55%,2,0,+2
Asuna,100T,Map_3_3Bind,Defend,Raze,0.96,218,6,7,4,-1,70%,145,16%,1,2,-1
eeiu,100T,Map_3_3Bind,Defend,Fade,0.72,186,7,8,0,-1,60%,107,27%,2,0,+2
Boostio,100T,Map_3_3Bind,Defend,Gekko,0.23,93,3,9,1,-6,40%,60,33%,0,1,-1
mada,NRG,Map_3_3Bind,Defend,Raze,1.82,373,17,7,0,+10,100%,199,8%,4,1,+3
Verno,NRG,Map_3_3Bind,Defend,Fade,1.04,234,11,8,4,+3,58%,151,50%,0,2,-2
s0m,NRG,Map_3_3Bind,Defend,Brimstone,1.02,185,7,7,10,0,92%,106,13%,0,3,-3
FiNESSE,NRG,Map_3_3Bind,Defend,Viper,0.86,108,3,6,6,-3,67%,77,4%,0,0,0
Ethan,NRG,Map_3_3Bind,Defend,Kayo,0.96,181,7,8,8,-1,83%,114,26%,0,2,-2
