Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
OXY,C9,Map_2_2Abyss,All,Jett,1.12,288,23,19,2,+4,65%,177,27%,6,4,+2
v1c,C9,Map_2_2Abyss,All,Omen,0.97,172,14,16,8,-2,70%,119,18%,1,1,0
Xeppaa,C9,Map_2_2Abyss,All,Sova,0.86,153,12,17,8,-5,74%,104,43%,1,0,+1
neT,C9,Map_2_2Abyss,All,Astra,0.63,159,14,19,8,-5,61%,92,80%,1,3,-2
mitch,C9,Map_2_2Abyss,All,Kayo,0.50,136,9,18,13,-9,57%,82,16%,0,5,-5
aspas,MIBR,Map_2_2Abyss,All,Jett,1.67,280,25,10,2,+15,87%,180,19%,5,2,+3
xenom,MIBR,Map_2_2Abyss,All,Astra,1.34,206,19,12,11,+7,83%,133,47%,1,0,+1
cortezia,MIBR,Map_2_2Abyss,All,Cypher,0.98,229,19,19,3,0,87%,160,51%,4,3,+1
artzin,MIBR,Map_2_2Abyss,All,Kayo,0.82,153,11,16,13,-5,78%,99,17%,1,2,-1
nzr,MIBR,Map_2_2Abyss,All,Sova,0.82,137,10,15,9,-5,70%,103,29%,2,2,0
OXY,C9,Map_2_2Abyss,Attack,Jett,1.00,281,11,9,1,+2,73%,179,32%,4,1,+3
v1c,C9,Map_2_2Abyss,Attack,Omen,1.52,272,11,6,5,+5,73%,190,15%,0,0,0
Xeppaa,C9,Map_2_2Abyss,Attack,Sova,0.74,125,5,8,5,-3,73%,77,36%,0,0,0
neT,C9,Map_2_2Abyss,Attack,Astra,1.19,227,10,7,6,+3,82%,128,83%,1,1,0
mitch,C9,Map_2_2Abyss,Attack,Kayo,0.48,79,2,7,9,-5,55%,49,22%,0,4,-4
aspas,MIBR,Map_2_2Abyss,Attack,Jett,1.41,223,11,5,1,+6,75%,145,21%,3,2,+1
xenom,MIBR,Map_2_2Abyss,Attack,Astra,1.58,228,11,5,6,+6,92%,153,36%,1,0,+1
cortezia,MIBR,Map_2_2Abyss,Attack,Cypher,1.26,301,13,10,3,+3,92%,194,52%,2,1,+1
artzin,MIBR,Map_2_2Abyss,Attack,Kayo,0.93,146,6,7,10,-1,92%,88,21%,0,1,-1
nzr,MIBR,Map_2_2Abyss,Attack,Sova,1.22,167,6,6,8,0,83%,134,29%,1,0,+1
OXY,C9,Map_2_2Abyss,Defend,Jett,1.23,296,12,10,1,+2,58%,175,23%,2,3,-1
v1c,C9,Map_2_2Abyss,Defend,Omen,0.46,83,3,10,3,-7,67%,54,27%,1,1,0
Xeppaa,C9,Map_2_2Abyss,Defend,Sova,0.96,180,7,9,3,-2,75%,130,47%,1,0,+1
neT,C9,Map_2_2Abyss,Defend,Astra,0.12,97,4,12,2,-8,42%,60,75%,0,2,-2
mitch,C9,Map_2_2Abyss,Defend,Kayo,0.53,189,7,11,4,-4,58%,113,14%,0,1,-1
aspas,MIBR,Map_2_2Abyss,Defend,Jett,1.95,344,14,5,1,+9,100%,219,18%,2,0,+2
xenom,MIBR,Map_2_2Abyss,Defend,Astra,1.08,184,8,7,5,+1,73%,111,67%,0,0,0
cortezia,MIBR,Map_2_2Abyss,Defend,Cypher,0.67,152,6,9,0,-3,82%,122,50%,2,2,0
artzin,MIBR,Map_2_2Abyss,Defend,Kayo,0.70,163,5,9,3,-4,64%,111,15%,1,1,0
nzr,MIBR,Map_2_2Abyss,Defend,Sova,0.39,105,4,9,1,-5,55%,70,29%,1,2,-1
