,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Melser KRÜ,,5 Round 2 gobera silentzz Round 7 gobera pryze Round 8 Zap lz Round 14 Zap pryze Round 16 Zap gobera,1 Round 13 Zap pryze lz,,,,,,,,81,1,1
keznit KRÜ,,1 Round 6 lz pryze,3 Round 8 silentzz pryze gobera Round 9 lz silentzz pryze Round 11 pryze silentzz lz,,,1 Round 8 gobera,,,,,79,0,0
adverso KRÜ,,,1 Round 10 Zap lz gobera,,,,1 Round 11 Zap gobera,,,,52,4,0
Mazino KRÜ,,3 Round 3 gobera Zap Round 6 silentzz Zap Round 7 lz silentzz,,,,,,,,,67,6,0
Shyy KRÜ,,,1 Round 15 gobera lz pryze,1 Round 1 Zap silentzz pryze gobera,,1 Round 15 pryze,1 Round 1 pryze gobera,,,,50,0,1
pryze 2G,,1 Round 15 keznit adverso,,,,,,,,,42,1,0
Zap 2G,,,,,,,,,,,24,0,0
lz 2G,,,,,1 Round 14 Shyy Melser Mazino adverso keznit,,,1 Round 14 keznit adverso Mazino,,,39,2,0
silentzz 2G,,,1 Round 12 Shyy adverso Mazino,,,,,,,,33,0,0
gobera 2G,,1 Round 8 Melser Shyy,1 Round 1 Mazino adverso keznit,1 Round 11 Melser Mazino Shyy adverso,,,,,,,71,0,1
