,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Melser KRÜ,,3 Round 3 tuyz cauanzin Round 6 pANcada tuyz Round 12 v1nny pANcada,,,,,,,,,38,3,0
keznit KRÜ,,5 Round 3 pANcada v1nny Round 9 pANcada dgzin Round 10 pANcada dgzin Round 15 dgzin tuyz Round 23 v1nny tuyz,1 Round 20 tuyz pANcada dgzin,,,,,,,,65,3,0
adverso KRÜ,,,,,,,,,,,44,1,0
Mazino KRÜ,,2 Round 10 tuyz v1nny Round 22 tuyz pANcada,1 Round 17 dgzin tuyz cauanzin,1 Round 18 dgzin v1nny pANcada cauanzin,,,,,,,61,3,0
Shyy KRÜ,,3 Round 13 dgzin pANcada Round 15 pANcada cauanzin Round 19 cauanzin pANcada,1 Round 21 tuyz dgzin pANcada,,,1 Round 21 pANcada,,,,,64,0,0
pANcada LOUD,,3 Round 1 adverso Melser Round 19 Melser adverso Round 21 adverso Mazino,1 Round 13 keznit adverso Melser,,,1 Round 23 keznit,,,,,44,1,0
v1nny LOUD,,4 Round 2 Shyy adverso Round 6 Shyy Melser Round 12 keznit adverso Round 23 Mazino Shyy,,,,2 Round 6 Melser Round 19 Shyy,,,,,53,4,1
tuyz LOUD,,2 Round 12 Mazino Melser Round 23 adverso Melser,1 Round 18 Shyy keznit Mazino,,,1 Round 12 Melser,,1 Round 18 keznit Mazino Shyy,,,47,0,1
cauanzin LOUD,,2 Round 2 Mazino Melser Round 14 adverso Shyy,1 Round 11 Shyy Mazino Melser,,,,,,,,39,1,1
dgzin LOUD,,2 Round 1 Mazino keznit Round 9 Melser adverso,2 Round 7 keznit Melser Mazino Round 16 Melser Shyy keznit,,,,,,,,62,0,1
