,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,1 Round 11 xenom cortezia,,,,,,,,,41,5,0
tex LEV,,2 Round 1 cortezia xenom Round 16 aspas cortezia,2 Round 12 cortezia xenom aspas Round 18 nzr xenom aspas,,,1 Round 12 aspas,1 Round 16 cortezia aspas,,,,50,1,1
nataNk LEV,,4 Round 1 artzin aspas Round 2 aspas nzr Round 17 cortezia artzin Round 21 artzin nzr,,,,,,,,,41,1,0
kiNgg LEV,,1 Round 16 nzr xenom,,,,1 Round 17 xenom,,,,,41,2,1
Demon1 LEV,,4 Round 2 xenom artzin Round 8 cortezia aspas Round 18 artzin cortezia Round 20 nzr cortezia,2 Round 7 aspas xenom nzr Round 19 cortezia artzin nzr,1 Round 6 xenom aspas artzin nzr,,,,,,,75,0,0
nzr MIBR,,3 Round 4 kiNgg C0M Round 9 nataNk Demon1 Round 19 tex nataNk,1 Round 5 kiNgg Demon1 tex,,,,,,,,55,2,1
cortezia MIBR,,2 Round 14 C0M nataNk Round 21 C0M kiNgg,1 Round 16 Demon1 kiNgg C0M,,,,,,,,53,1,1
artzin MIBR,,5 Round 10 Demon1 nataNk Round 11 tex C0M Round 14 kiNgg tex Round 15 tex C0M Round 20 Demon1 kiNgg,,,,,,,,,81,5,0
aspas MIBR,,1 Round 20 C0M tex,2 Round 12 Demon1 nataNk C0M Round 22 C0M nataNk Demon1,,,,,,,,49,1,0
xenom MIBR,,2 Round 4 Demon1 tex Round 8 Demon1 kiNgg,3 Round 13 nataNk Demon1 C0M xenom Round 17 tex C0M nataNk Round 19 kiNgg C0M Demon1,,,,1 Round 19 C0M Demon1,,,,49,0,1
