Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
aspas,MIBR,Map_3_3Split,All,Jett,1.80,340,29,14,1,+15,83%,208,30%,7,1,+6
nzr,MIBR,Map_3_3Split,All,Skye,1.27,175,15,12,14,+3,83%,121,24%,0,0,0
xenom,MIBR,Map_3_3Split,All,Astra,1.04,179,15,14,15,+1,88%,109,32%,3,1,+2
artzin,MIBR,Map_3_3Split,All,Raze,0.77,193,17,17,4,0,67%,120,18%,4,5,-1
cortezia,MIBR,Map_3_3Split,All,Viper,0.54,144,11,17,5,-6,83%,93,19%,2,1,+1
Shyy,KRÜ,Map_3_3Split,All,Cypher,1.21,201,18,14,2,+4,79%,147,33%,1,1,0
adverso,KRÜ,Map_3_3Split,All,Viper,0.88,214,18,21,2,-3,63%,150,17%,2,5,-3
Melser,KRÜ,Map_3_3Split,All,Omen,0.87,144,12,16,10,-4,75%,93,31%,0,3,-3
keznit,KRÜ,Map_3_3Split,All,Raze,0.86,212,16,18,1,-2,67%,138,11%,3,2,+1
Mazino,KRÜ,Map_3_3Split,All,Skye,0.68,143,10,18,8,-8,67%,111,19%,2,5,-3
aspas,MIBR,Map_3_3Split,Attack,Jett,1.91,375,16,7,0,+9,75%,238,31%,3,0,+3
nzr,MIBR,Map_3_3Split,Attack,Skye,1.69,218,10,4,7,+6,92%,134,40%,0,0,0
xenom,MIBR,Map_3_3Split,Attack,Astra,1.07,158,7,7,9,0,100%,96,29%,1,0,+1
artzin,MIBR,Map_3_3Split,Attack,Raze,0.55,183,8,9,1,-1,58%,120,39%,3,3,0
cortezia,MIBR,Map_3_3Split,Attack,Viper,0.62,170,7,9,2,-2,83%,110,23%,1,1,0
Shyy,KRÜ,Map_3_3Split,Attack,Cypher,1.07,157,7,6,1,+1,83%,121,42%,0,1,-1
adverso,KRÜ,Map_3_3Split,Attack,Viper,0.69,176,8,10,0,-2,58%,129,30%,0,3,-3
Melser,KRÜ,Map_3_3Split,Attack,Omen,1.32,188,9,6,4,+3,83%,110,35%,0,0,0
keznit,KRÜ,Map_3_3Split,Attack,Raze,0.87,226,9,9,0,0,67%,134,11%,3,2,+1
Mazino,KRÜ,Map_3_3Split,Attack,Skye,0.80,153,5,8,6,-3,75%,120,16%,1,2,-1
aspas,MIBR,Map_3_3Split,Defend,Jett,1.69,305,13,7,1,+6,92%,177,29%,4,1,+3
nzr,MIBR,Map_3_3Split,Defend,Skye,0.85,133,5,8,7,-3,75%,108,14%,0,0,0
xenom,MIBR,Map_3_3Split,Defend,Astra,1.01,201,8,7,6,+1,75%,122,33%,2,1,+1
artzin,MIBR,Map_3_3Split,Defend,Raze,0.99,203,9,8,3,+1,75%,121,3%,1,2,-1
cortezia,MIBR,Map_3_3Split,Defend,Viper,0.46,119,4,8,3,-4,83%,77,13%,1,0,+1
Shyy,KRÜ,Map_3_3Split,Defend,Cypher,1.35,245,11,8,1,+3,75%,174,28%,1,0,+1
adverso,KRÜ,Map_3_3Split,Defend,Viper,1.08,254,10,11,2,-1,67%,171,13%,2,2,0
Melser,KRÜ,Map_3_3Split,Defend,Omen,0.41,101,3,10,6,-7,67%,76,28%,0,3,-3
keznit,KRÜ,Map_3_3Split,Defend,Raze,0.86,199,7,9,1,-2,67%,143,12%,0,0,0
Mazino,KRÜ,Map_3_3Split,Defend,Skye,0.57,134,5,10,2,-5,58%,102,22%,1,3,-2
