,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,2 Round 11 Asuna eeiu Round 17 eeiu Asuna,,,,,1 Round 17 Asuna eeiu,,,,50,2,3
johnqt SEN,,4 Round 6 Boostio Cryocells Round 12 eeiu Boostio Round 15 Boostio Cryocells Round 22 eeiu zander,2 Round 2 eeiu Cryocells Asuna Round 13 zander eeiu Boostio,,,,,,,,70,6,1
bang SEN,,2 Round 6 Asuna zander Round 22 Boostio Cryocells,1 Round 5 Cryocells zander eeiu,,,,1 Round 15 zander eeiu,,,,45,1,0
zekken SEN,,2 Round 2 Boostio zander Round 21 Boostio eeiu,2 Round 10 eeiu Boostio Asuna Round 16 zander eeiu Cryocells,,,,1 Round 7 zander eeiu,,,,52,0,0
N4RRATE SEN,,4 Round 1 zander eeiu Round 17 Boostio Cryocells Round 18 zander Boostio Round 21 Asuna zander,,,,,,,,,65,0,0
Asuna 100T,,3 Round 10 N4RRATE bang Round 12 zekken Zellsis Round 17 N4RRATE johnqt,1 Round 14 Zellsis zekken johnqt,,,,,,,,39,6,0
Boostio 100T,,1 Round 19 N4RRATE Zellsis,,,,,1 Round 13 bang johnqt,,,,39,1,2
eeiu 100T,,3 Round 8 N4RRATE johnqt Round 9 johnqt N4RRATE Round 15 johnqt bang eeiu,,,,,,,,,42,1,0
Cryocells 100T,,1 Round 6 N4RRATE zekken,1 Round 3 zekken Zellsis N4RRATE,,,,,,,,55,0,0
zander 100T,,1 Round 19 johnqt bang,2 Round 7 N4RRATE bang johnqt Round 11 johnqt Zellsis N4RRATE zander,,,,,1 Round 11 Zellsis johnqt N4RRATE,,,54,1,0
