,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zellsis SEN,,3 Round 4 valyn jawgemo Round 8 jawgemo leaf Round 18 leaf valyn,,,,,,,,,45,1,0
johnqt SEN,,2 Round 8 valyn JonahP Round 14 jawgemo leaf,,,,,,,,,40,2,1
bang SEN,,3 Round 7 leaf valyn Round 13 JonahP jawgemo Round 19 leaf valyn,1 Round 15 jawgemo JonahP leaf,,,1 Round 7 valyn,,,,,48,2,1
zekken SEN,,5 Round 1 trent valyn Round 2 valyn trent Round 6 leaf valyn Round 11 JonahP valyn Round 19 trent jawgemo,,,,,,,,,40,0,0
N4RRATE SEN,,3 Round 6 jawgemo JonahP Round 17 leaf JonahP Round 20 trent leaf,2 Round 1 leaf jawgemo JonahP Round 7 jawgemo JonahP trent,,,,1 Round 6 jawgemo JonahP,,,,76,3,0
valyn G2,,5 Round 10 zekken bang Round 11 N4RRATE Zellsis Round 13 bang zekken Round 16 bang johnqt Round 19 zekken Zellsis,3 Round 3 N4RRATE bang johnqt Round 7 zekken N4RRATE Zellsis Round 12 johnqt bang zekken,,,1 Round 3 johnqt,,,,,57,2,1
jawgemo G2,,4 Round 6 johnqt zekken Round 9 johnqt zekken Round 14 Zellsis zekken Round 16 Zellsis zekken,,2 Round 5 johnqt bang N4RRATE zekken Round 17 bang zekken johnqt N4RRATE,,,,,,,67,1,0
JonahP G2,,3 Round 9 N4RRATE Zellsis Round 14 johnqt N4RRATE Round 15 zekken N4RRATE,,,,1 Round 14 N4RRATE,,,,,60,3,0
leaf G2,,1 Round 6 bang Zellsis,1 Round 4 N4RRATE bang Zellsis,,,,,,,,32,0,0
trent G2,,2 Round 3 zekken Zellsis Round 13 Zellsis johnqt,,1 Round 18 bang N4RRATE zekken johnqt,,1 Round 11 zekken,,,,,53,2,2
