,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Asuna 100T,,4 Round 3 pANcada lukxo Round 8 dgzin pANcada Round 12 dgzin cauanzin Round 19 lukxo dgzin,,,,,,,,,49,0,1
Boostio 100T,,2 Round 1 pANcada v1nny Round 6 v1nny pANcada,,,,1 Round 17 cauanzin,,,,,30,1,0
eeiu 100T,,1 Round 15 cauanzin pANcada,2 Round 7 pANcada lukxo dgzin Round 12 lukxo pANcada v1nny,,,,,,,,51,1,0
Cryocells 100T,,4 Round 2 lukxo cauanzin Round 6 dgzin cauanzin Round 8 lukxo cauanzin Round 13 lukxo v1nny,1 Round 9 dgzin lukxo cauanzin,,,,,,,,66,1,0
zander 100T,,1 Round 11 dgzin v1nny,,,,,,,,,45,2,1
pANcada LOUD,,2 Round 4 Boostio zander Round 12 zander Cryocells,1 Round 19 Asuna zander eeiu,,,,,,,,47,1,0
v1nny LOUD,,2 Round 13 eeiu Boostio Round 14 Asuna eeiu,,,,,,,,,40,8,0
cauanzin LOUD,,2 Round 1 zander eeiu Round 5 Boostio eeiu,,1 Round 17 Cryocells eeiu zander Boostio cauanzin,,1 Round 13 Cryocells,1 Round 1 zander eeiu,,,,64,1,2
dgzin LOUD,,4 Round 2 zander Cryocells Round 7 Asuna Cryocells Round 14 zander Boostio Round 19 Boostio Cryocells,1 Round 10 Asuna Boostio zander,,,,,,,,57,0,0
lukxo LOUD,,3 Round 6 Asuna Boostio Round 7 zander Boostio Round 15 eeiu Cryocells,2 Round 11 Cryocells eeiu Boostio Round 16 zander Asuna Boostio,,,,1 Round 15 Cryocells eeiu,,,,75,0,1
