,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pANcada LOUD,,5 Round 2 Askia silentzz Round 6 silentzz PxS Round 9 silentzz lz Round 10 PxS lz Round 17 Askia PxS,1 Round 3 silentzz Askia lz pANcada,1 Round 20 silentzz gobera PxS lz,,,,,1 Round 20 silentzz gobera PxS lz,,77,1,0
v1nny LOUD,,2 Round 9 Askia PxS Round 23 silentzz Askia,1 Round 19 lz gobera PxS,,,,,,,,33,5,0
tuyz LOUD,,1 Round 15 gobera silentzz,1 Round 22 PxS gobera lz,,,1 Round 11 silentzz,,,,,52,0,2
cauanzin LOUD,,4 Round 3 PxS gobera Round 12 PxS lz Round 17 silentzz gobera Round 18 PxS Askia,,1 Round 14 silentzz Askia lz gobera,,,1 Round 18 Askia PxS,,,,60,1,0
dgzin LOUD,,5 Round 6 Askia gobera Round 8 lz gobera Round 11 lz gobera Round 21 silentzz PxS Round 22 silentzz Askia,,1 Round 7 gobera silentzz lz PxS dgzin,,,,,,,48,0,0
lz 2G,,3 Round 4 tuyz pANcada Round 6 v1nny cauanzin Round 13 v1nny tuyz,,,,1 Round 22 tuyz,1 Round 3 pANcada cauanzin,,,,35,0,1
silentzz 2G,,3 Round 4 v1nny cauanzin Round 11 dgzin pANcada Round 16 dgzin tuyz,1 Round 24 v1nny dgzin tuyz,,,,,,,,52,1,0
PxS 2G,,3 Round 1 v1nny pANcada Round 14 cauanzin dgzin Round 15 v1nny tuyz,1 Round 5 cauanzin dgzin v1nny,,,1 Round 7 dgzin,1 Round 14 dgzin cauanzin,,,,43,3,0
gobera 2G,,4 Round 2 v1nny pANcada Round 11 cauanzin v1nny Round 13 dgzin pANcada Round 18 tuyz v1nny,1 Round 17 tuyz v1nny dgzin,,,,,,,,66,5,0
Askia 2G,,3 Round 1 dgzin tuyz Round 21 cauanzin pANcada Round 24 cauanzin pANcada,,,1 Round 12 dgzin v1nny cauanzin pANcada tuyz,,,,,,52,0,0
