Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
leaf,G2,Map_3_3Pearl,All,Vyse,1.40,290,29,21,14,+8,80%,192,21%,10,4,+6
trent,G2,Map_3_3Pearl,All,Tejo,1.28,222,25,19,7,+6,77%,149,28%,2,0,+2
valyn,G2,Map_3_3Pearl,All,Astra,1.08,204,24,20,10,+4,80%,123,22%,2,2,0
jawgemo,G2,Map_3_3Pearl,All,Yoru,0.98,216,22,22,12,0,73%,134,24%,4,4,0
JonahP,G2,Map_3_3Pearl,All,Fade,0.90,155,15,20,18,-5,80%,105,20%,1,1,0
Cryocells,100T,Map_3_3Pearl,All,Yoru,1.23,253,30,24,4,+6,67%,160,25%,3,5,-2
zander,100T,Map_3_3Pearl,All,Astra,1.00,207,23,22,11,+1,73%,144,17%,0,2,-2
eeiu,100T,Map_3_3Pearl,All,Fade,0.83,146,15,21,13,-6,67%,104,55%,1,3,-2
Asuna,100T,Map_3_3Pearl,All,Neon,0.77,197,18,25,11,-7,73%,132,23%,5,3,+2
Boostio,100T,Map_3_3Pearl,All,Killjoy,0.63,159,16,23,2,-7,53%,108,42%,2,6,-4
leaf,G2,Map_3_3Pearl,Attack,Vyse,1.79,335,18,9,6,+9,87%,219,26%,6,1,+5
trent,G2,Map_3_3Pearl,Attack,Tejo,1.10,215,10,10,3,0,87%,143,26%,2,0,+2
valyn,G2,Map_3_3Pearl,Attack,Astra,0.63,101,7,9,4,-2,80%,55,14%,1,2,-1
jawgemo,G2,Map_3_3Pearl,Attack,Yoru,1.19,280,15,11,7,+4,80%,170,25%,1,1,0
JonahP,G2,Map_3_3Pearl,Attack,Fade,1.11,184,10,9,10,+1,80%,122,16%,0,1,-1
Cryocells,100T,Map_3_3Pearl,Attack,Yoru,1.39,274,17,12,2,+5,67%,172,26%,2,2,0
zander,100T,Map_3_3Pearl,Attack,Astra,1.20,222,13,10,5,+3,67%,162,20%,0,1,-1
eeiu,100T,Map_3_3Pearl,Attack,Fade,0.78,143,7,10,8,-3,73%,100,50%,1,1,0
Asuna,100T,Map_3_3Pearl,Attack,Neon,0.81,200,8,12,9,-4,87%,138,24%,2,1,+1
Boostio,100T,Map_3_3Pearl,Attack,Killjoy,0.73,178,9,11,1,-2,60%,121,38%,1,4,-3
leaf,G2,Map_3_3Pearl,Defend,Vyse,1.01,246,11,12,8,-1,73%,164,17%,4,3,+1
trent,G2,Map_3_3Pearl,Defend,Tejo,1.47,229,15,9,4,+6,67%,155,31%,0,0,0
valyn,G2,Map_3_3Pearl,Defend,Astra,1.52,308,17,11,6,+6,80%,191,26%,1,0,+1
jawgemo,G2,Map_3_3Pearl,Defend,Yoru,0.77,152,7,11,5,-4,67%,98,22%,3,3,0
JonahP,G2,Map_3_3Pearl,Defend,Fade,0.70,126,5,11,8,-6,80%,88,26%,1,0,+1
Cryocells,100T,Map_3_3Pearl,Defend,Yoru,1.07,234,13,12,2,+1,67%,147,23%,1,3,-2
zander,100T,Map_3_3Pearl,Defend,Astra,0.80,193,10,12,6,-2,80%,125,13%,0,1,-1
eeiu,100T,Map_3_3Pearl,Defend,Fade,0.88,151,8,11,5,-3,60%,108,60%,0,2,-2
Asuna,100T,Map_3_3Pearl,Defend,Neon,0.72,194,10,13,2,-3,60%,126,22%,3,2,+1
Boostio,100T,Map_3_3Pearl,Defend,Killjoy,0.53,140,7,12,1,-5,47%,95,47%,1,2,-1
