Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
leaf,G2,Map_3_3Pearl,All,Vyse,1.38,248,21,12,7,+9,83%,162,24%,2,3,-1
trent,G2,Map_3_3Pearl,All,Tejo,1.34,233,23,14,5,+9,79%,154,25%,2,4,-2
valyn,G2,Map_3_3Pearl,All,Astra,1.11,211,20,17,6,+3,75%,135,27%,0,0,0
JonahP,G2,Map_3_3Pearl,All,Fade,1.01,174,13,16,15,-3,75%,113,16%,0,3,-3
jawgemo,G2,Map_3_3Pearl,All,Yoru,0.62,200,15,22,7,-7,75%,125,16%,7,3,+4
supamen,EG,Map_3_3Pearl,All,Astra,1.30,214,19,15,8,+4,67%,132,51%,2,0,+2
yay,EG,Map_3_3Pearl,All,Jett,0.95,222,18,19,4,-1,54%,143,29%,6,3,+3
NaturE,EG,Map_3_3Pearl,All,Vyse,0.83,165,13,17,7,-4,71%,104,20%,1,3,-2
Derrek,EG,Map_3_3Pearl,All,Tejo,0.83,185,14,19,7,-5,58%,129,28%,0,1,-1
icy,EG,Map_3_3Pearl,All,Yoru,0.66,198,17,22,4,-5,63%,140,26%,4,4,0
leaf,G2,Map_3_3Pearl,Attack,Vyse,1.43,249,10,5,6,+5,75%,171,31%,1,2,-1
trent,G2,Map_3_3Pearl,Attack,Tejo,1.23,188,10,6,2,+4,83%,129,23%,1,1,0
valyn,G2,Map_3_3Pearl,Attack,Astra,1.15,210,11,8,4,+3,75%,109,25%,0,0,0
JonahP,G2,Map_3_3Pearl,Attack,Fade,1.55,229,9,5,9,+4,100%,148,14%,0,0,0
jawgemo,G2,Map_3_3Pearl,Attack,Yoru,0.95,280,11,11,4,0,83%,164,13%,6,1,+5
supamen,EG,Map_3_3Pearl,Attack,Astra,1.31,143,8,5,5,+3,67%,93,50%,0,0,0
yay,EG,Map_3_3Pearl,Attack,Jett,0.87,244,9,10,4,-1,67%,166,29%,5,1,+4
NaturE,EG,Map_3_3Pearl,Attack,Vyse,1.05,203,9,8,2,+1,75%,119,24%,1,1,0
Derrek,EG,Map_3_3Pearl,Attack,Tejo,1.01,189,8,8,1,0,58%,133,16%,0,0,0
icy,EG,Map_3_3Pearl,Attack,Yoru,1.09,265,12,10,2,+2,75%,169,32%,3,1,+2
leaf,G2,Map_3_3Pearl,Defend,Vyse,1.33,248,11,7,1,+4,92%,154,18%,1,1,0
trent,G2,Map_3_3Pearl,Defend,Tejo,1.45,279,13,8,3,+5,75%,179,26%,1,3,-2
valyn,G2,Map_3_3Pearl,Defend,Astra,1.08,214,9,9,2,0,75%,161,29%,0,0,0
JonahP,G2,Map_3_3Pearl,Defend,Fade,0.48,120,4,11,6,-7,50%,79,21%,0,3,-3
jawgemo,G2,Map_3_3Pearl,Defend,Yoru,0.28,122,4,11,3,-7,67%,85,24%,1,2,-1
supamen,EG,Map_3_3Pearl,Defend,Astra,1.28,286,11,10,3,+1,67%,171,52%,2,0,+2
yay,EG,Map_3_3Pearl,Defend,Jett,1.03,202,9,9,0,0,42%,120,31%,1,2,-1
NaturE,EG,Map_3_3Pearl,Defend,Vyse,0.61,128,4,9,5,-5,67%,90,14%,0,2,-2
Derrek,EG,Map_3_3Pearl,Defend,Tejo,0.64,182,6,11,6,-5,58%,126,48%,0,1,-1
icy,EG,Map_3_3Pearl,Defend,Yoru,0.23,133,5,12,2,-7,50%,111,19%,1,3,-2
