Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
zekken,SEN,Map_1_1Ascent,All,Jett,1.58,305,24,14,5,+10,82%,185,21%,7,5,+2
johnqt,SEN,Map_1_1Ascent,All,Kayo,1.11,222,17,14,13,+3,86%,150,37%,0,0,0
Zellsis,SEN,Map_1_1Ascent,All,Vyse,1.11,189,16,13,7,+3,82%,129,29%,2,2,0
N4RRATE,SEN,Map_1_1Ascent,All,Tejo,1.07,245,18,15,8,+3,82%,168,22%,2,1,+1
bang,SEN,Map_1_1Ascent,All,Omen,0.93,182,15,14,10,+1,82%,107,28%,1,2,-1
mitch,C9,Map_1_1Ascent,All,Sova,1.58,275,23,15,5,+8,73%,176,25%,4,1,+3
v1c,C9,Map_1_1Ascent,All,Omen,0.79,155,10,18,11,-8,59%,109,39%,0,0,0
OXY,C9,Map_1_1Ascent,All,Yoru,0.79,161,14,18,9,-4,68%,108,28%,1,6,-5
Xeppaa,C9,Map_1_1Ascent,All,Vyse,0.70,159,11,19,5,-8,59%,121,33%,1,1,0
neT,C9,Map_1_1Ascent,All,Deadlock,0.62,167,12,20,5,-8,64%,102,25%,4,4,0
zekken,SEN,Map_1_1Ascent,Attack,Jett,0.68,179,5,9,4,-4,70%,122,20%,2,4,-2
johnqt,SEN,Map_1_1Ascent,Attack,Kayo,0.98,217,7,8,7,-1,80%,136,23%,0,0,0
Zellsis,SEN,Map_1_1Ascent,Attack,Vyse,1.42,221,8,6,4,+2,80%,152,31%,1,1,0
N4RRATE,SEN,Map_1_1Ascent,Attack,Tejo,0.87,199,6,7,3,-1,80%,141,17%,0,1,-1
bang,SEN,Map_1_1Ascent,Attack,Omen,0.92,169,7,7,3,0,70%,107,24%,0,1,-1
mitch,C9,Map_1_1Ascent,Attack,Sova,0.93,146,7,10,3,-3,67%,101,38%,1,1,0
v1c,C9,Map_1_1Ascent,Attack,Omen,1.12,236,9,11,8,-2,67%,162,46%,0,0,0
OXY,C9,Map_1_1Ascent,Attack,Yoru,0.15,73,3,12,3,-9,58%,57,23%,0,5,-5
Xeppaa,C9,Map_1_1Ascent,Attack,Vyse,0.59,139,5,12,2,-7,42%,115,29%,0,1,-1
neT,C9,Map_1_1Ascent,Attack,Deadlock,0.83,228,9,12,2,-3,67%,135,38%,2,2,0
zekken,SEN,Map_1_1Ascent,Defend,Jett,2.33,411,19,5,1,+14,92%,237,21%,5,1,+4
johnqt,SEN,Map_1_1Ascent,Defend,Kayo,1.21,227,10,6,6,+4,92%,163,52%,0,0,0
Zellsis,SEN,Map_1_1Ascent,Defend,Vyse,0.85,163,8,7,3,+1,83%,110,26%,1,1,0
N4RRATE,SEN,Map_1_1Ascent,Defend,Tejo,1.23,284,12,8,5,+4,83%,191,26%,2,0,+2
bang,SEN,Map_1_1Ascent,Defend,Omen,0.94,194,8,7,7,+1,92%,107,33%,1,1,0
mitch,C9,Map_1_1Ascent,Defend,Sova,2.36,431,16,5,2,+11,80%,265,21%,3,0,+3
v1c,C9,Map_1_1Ascent,Defend,Omen,0.39,60,1,7,3,-6,50%,45,20%,0,0,0
OXY,C9,Map_1_1Ascent,Defend,Yoru,1.56,268,11,6,6,+5,80%,170,30%,1,1,0
Xeppaa,C9,Map_1_1Ascent,Defend,Vyse,0.82,184,6,7,3,-1,80%,128,39%,1,0,+1
neT,C9,Map_1_1Ascent,Defend,Deadlock,0.36,95,3,8,3,-5,60%,63,6%,2,2,0
