Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
keznit,KRÜ,Map_1_1Lotus,All,Neon,1.23,263,25,19,5,+6,73%,170,22%,5,6,-1
Shyy,KRÜ,Map_1_1Lotus,All,Vyse,1.19,241,22,19,9,+3,88%,152,21%,3,0,+3
Melser,KRÜ,Map_1_1Lotus,All,Omen,1.02,172,17,17,11,0,88%,107,18%,0,2,-2
Mazino,KRÜ,Map_1_1Lotus,All,Breach,0.82,160,14,20,17,-6,81%,103,29%,2,3,-1
adverso,KRÜ,Map_1_1Lotus,All,Tejo,0.75,171,14,20,6,-6,81%,113,18%,2,3,-1
icy,EG,Map_1_1Lotus,All,Raze,1.37,267,23,16,5,+7,62%,188,27%,7,4,+3
Derrek,EG,Map_1_1Lotus,All,Tejo,1.28,220,21,15,11,+6,81%,160,39%,0,0,0
NaturE,EG,Map_1_1Lotus,All,Fade,1.04,219,20,21,12,-1,88%,128,30%,2,0,+2
yay,EG,Map_1_1Lotus,All,Clove,0.94,207,19,21,5,-2,77%,136,35%,4,6,-2
supamen,EG,Map_1_1Lotus,All,Viper,0.55,138,12,20,3,-8,54%,108,33%,1,2,-1
keznit,KRÜ,Map_1_1Lotus,Attack,Neon,0.90,187,9,9,4,0,69%,141,18%,1,4,-3
Shyy,KRÜ,Map_1_1Lotus,Attack,Vyse,1.29,268,12,10,6,+2,85%,169,21%,3,0,+3
Melser,KRÜ,Map_1_1Lotus,Attack,Omen,1.06,177,9,9,5,0,85%,104,17%,0,0,0
Mazino,KRÜ,Map_1_1Lotus,Attack,Breach,1.05,178,8,9,8,-1,69%,99,26%,2,1,+1
adverso,KRÜ,Map_1_1Lotus,Attack,Tejo,1.14,216,10,8,1,+2,85%,133,29%,1,1,0
icy,EG,Map_1_1Lotus,Attack,Raze,1.38,292,14,9,1,+5,69%,189,37%,4,1,+3
Derrek,EG,Map_1_1Lotus,Attack,Tejo,1.47,220,10,6,9,+4,92%,164,32%,0,0,0
NaturE,EG,Map_1_1Lotus,Attack,Fade,1.09,199,10,10,5,0,92%,111,30%,2,0,+2
yay,EG,Map_1_1Lotus,Attack,Clove,1.11,244,11,10,3,+1,85%,150,35%,2,3,-1
supamen,EG,Map_1_1Lotus,Attack,Viper,0.52,125,5,9,1,-4,62%,98,36%,0,1,-1
keznit,KRÜ,Map_1_1Lotus,Defend,Neon,1.56,340,16,10,1,+6,77%,200,24%,4,2,+2
Shyy,KRÜ,Map_1_1Lotus,Defend,Vyse,1.08,214,10,9,3,+1,92%,135,22%,0,0,0
Melser,KRÜ,Map_1_1Lotus,Defend,Omen,0.99,168,8,8,6,0,92%,109,19%,0,2,-2
Mazino,KRÜ,Map_1_1Lotus,Defend,Breach,0.60,143,6,11,9,-5,92%,107,31%,0,2,-2
adverso,KRÜ,Map_1_1Lotus,Defend,Tejo,0.35,126,4,12,5,-8,77%,94,7%,1,2,-1
icy,EG,Map_1_1Lotus,Defend,Raze,1.36,244,9,7,4,+2,54%,187,20%,3,3,0
Derrek,EG,Map_1_1Lotus,Defend,Tejo,1.09,222,11,9,2,+2,69%,157,48%,0,0,0
NaturE,EG,Map_1_1Lotus,Defend,Fade,0.99,240,10,11,7,-1,85%,145,29%,0,0,0
yay,EG,Map_1_1Lotus,Defend,Clove,0.78,172,8,11,2,-3,69%,121,35%,2,3,-1
supamen,EG,Map_1_1Lotus,Defend,Viper,0.58,153,7,11,2,-4,46%,118,32%,1,1,0
