,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Melser KRÜ,,,,,,,,,,,34,0,0
keznit KRÜ,,3 Round 2 artzin Verno Round 4 aspas Verno Round 10 cortezia xenom,2 Round 9 artzin cortezia Verno Round 12 cortezia artzin xenom,,,,,,,,58,0,0
adverso KRÜ,,1 Round 18 aspas cortezia,1 Round 15 Verno aspas xenom,,,,,,,,45,5,0
Mazino KRÜ,,,,,,,,,,,46,3,0
Shyy KRÜ,,5 Round 4 xenom artzin Round 7 aspas artzin Round 10 artzin Verno Round 13 cortezia artzin Round 16 artzin aspas Shyy,4 Round 3 aspas artzin Verno Round 18 xenom Verno artzin Round 19 aspas cortezia Verno Round 21 aspas Verno xenom,,,1 Round 18 artzin,,,,,100,0,2
cortezia MIBR,,5 Round 2 keznit Shyy Round 5 Mazino Melser Round 6 Shyy Mazino Round 11 Melser keznit Round 21 adverso Shyy,1 Round 19 keznit adverso Mazino,,,,,,,,57,0,1
artzin MIBR,,4 Round 10 keznit adverso Round 14 Melser Shyy Round 16 Mazino keznit Round 18 adverso Melser,,,,,,,,,45,6,0
aspas MIBR,,4 Round 1 Melser adverso Round 6 keznit Melser Round 12 Melser Mazino Round 17 keznit Melser,2 Round 9 Melser adverso Shyy Round 13 keznit Shyy adverso,,,1 Round 9 Shyy,,,,,67,0,1
xenom MIBR,,,1 Round 8 Shyy adverso Mazino,,,1 Round 19 Shyy,1 Round 8 Mazino adverso,,,,35,1,1
Verno MIBR,,4 Round 1 keznit Mazino Round 9 Mazino keznit Round 14 adverso keznit Round 21 Melser Mazino,2 Round 2 adverso Melser Mazino Round 12 Shyy keznit adverso,,,,,,,,60,2,1
