,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Asuna 100T,,3 Round 15 C0M kiNgg Asuna Round 17 Sato Okeanos Round 22 tex Okeanos,,1 Round 4 tex Sato Okeanos kiNgg,,,,,,,44,0,0
eeiu 100T,,2 Round 5 Sato C0M Round 6 C0M tex,,,,,,,,,35,0,0
Cryocells 100T,,2 Round 8 Sato kiNgg Round 15 tex Okeanos,2 Round 5 tex kiNgg Okeanos Round 21 Sato Okeanos tex,1 Round 13 Okeanos Sato C0M tex,,2 Round 13 tex Round 21 tex,,,,,50,1,0
zander 100T,,,,,1 Round 3 Sato C0M Okeanos kiNgg tex,1 Round 7 C0M,,,,,62,6,1
Kess 100T,,1 Round 14 Okeanos C0M,,,,1 Round 14 C0M,,,,,39,0,0
C0M LEV,,1 Round 17 Cryocells zander,3 Round 7 Kess Cryocells eeiu Round 9 zander Cryocells Kess Round 23 Asuna zander Kess,1 Round 14 Asuna Cryocells eeiu zander,,,,,,,58,2,1
tex LEV,,2 Round 11 zander Cryocells Round 16 eeiu Asuna,1 Round 20 Asuna zander Kess,,,,,,,,54,1,2
Okeanos LEV,,4 Round 8 Cryocells eeiu Round 10 Kess Cryocells Round 15 Kess zander Round 19 zander eeiu,,,,,,,,,64,4,0
kiNgg LEV,,2 Round 12 eeiu Asuna Round 16 Cryocells zander,,1 Round 18 zander Kess Asuna Cryocells,,,,,,,49,1,1
Sato LEV,,3 Round 8 zander Kess Round 19 Kess Asuna Round 21 Asuna zander,1 Round 2 Cryocells eeiu Asuna,1 Round 22 Cryocells Asuna eeiu Kess,,,,,,,70,0,0
