,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pryze 2G,,3 Round 10 tuyz Palla Round 11 tuyz Urango Round 15 Palla Urango,1 Round 9 Urango tuyz adverso,,,,,,,,61,1,0
lz 2G,,2 Round 8 adverso heat Round 14 adverso heat,,,,,,1 Round 8 adverso heat tuyz,,,31,2,0
silentzz 2G,,1 Round 14 Urango tuyz,,,,,,,,,41,0,1
gobera 2G,,3 Round 2 heat adverso Round 6 Urango tuyz Round 11 heat adverso,2 Round 5 adverso Urango heat Round 13 heat adverso Palla,1 Round 1 adverso Palla tuyz Urango,,1 Round 11 adverso,2 Round 5 heat Urango Round 6 tuyz Urango,1 Round 13 adverso heat Palla,,,136,4,1
spike 2G,,2 Round 12 heat tuyz Round 15 adverso tuyz,1 Round 7 Urango adverso Palla,,,,,,,,59,4,0
tuyz FUR,,2 Round 1 silentzz spike Round 3 silentzz lz,,,,,,,,,46,0,1
adverso FUR,,,1 Round 11 spike silentzz pryze,,,,,,,,52,1,0
Urango FUR,,3 Round 6 lz pryze Round 9 silentzz spike Round 14 pryze lz,1 Round 5 lz spike pryze,,,,,,,,59,1,0
heat FUR,,2 Round 4 gobera silentzz Round 8 silentzz gobera,,,,,,,,,59,0,0
Palla FUR,,,,1 Round 13 silentzz lz spike pryze,,,,,,,60,0,0
