,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
pryze 2G,,,,,,,,,,,23,2,0
lz 2G,,,1 Round 3 zekken N4RRATE johnqt,,,,,,,,35,0,0
silentzz 2G,,2 Round 9 johnqt Zellsis Round 16 N4RRATE johnqt,3 Round 10 bang zekken Zellsis Round 12 johnqt Zellsis zekken Round 15 Zellsis N4RRATE zekken,,,,,,,,76,0,0
gobera 2G,,,,,,1 Round 3 bang,,,,,14,0,0
spike 2G,,1 Round 15 bang johnqt,2 Round 7 Zellsis bang zekken Round 9 zekken bang N4RRATE,,,,,,,,64,0,1
Zellsis SEN,,3 Round 10 spike gobera Round 13 gobera pryze Round 14 silentzz gobera,1 Round 1 silentzz pryze gobera,,,,,,,,45,0,0
johnqt SEN,,1 Round 8 pryze gobera,2 Round 13 spike lz silentzz Round 16 spike gobera pryze,,,1 Round 7 lz,,,,,69,5,0
bang SEN,,3 Round 11 gobera lz Round 15 gobera lz Round 17 spike lz,2 Round 3 pryze silentzz lz Round 6 lz pryze gobera,,,,,,,,65,1,0
zekken SEN,,3 Round 4 silentzz gobera Round 7 pryze gobera Round 16 silentzz lz,,,,,,,,,44,0,1
N4RRATE SEN,,2 Round 2 lz gobera Round 17 gobera pryze,1 Round 10 pryze silentzz lz,,,,,,,,72,4,0
