Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Haven,1,"""0-1""",SEN,Attackers,Elimination
3Haven,2,"""0-2""",SEN,Attackers,Elimination
3Haven,3,"""1-2""",2G,Defenders,Elimination
3Haven,4,"""1-3""",SEN,Attackers,Spike Detonation
3Haven,5,"""1-4""",SEN,Attackers,Spike Detonation
3Haven,6,"""1-5""",SEN,Attackers,Spike Detonation
3Haven,7,"""1-6""",SEN,Attackers,Elimination
3Haven,8,"""1-7""",SEN,Attackers,Elimination
3Haven,9,"""2-7""",2G,Defenders,Elimination
3Haven,10,"""2-8""",SEN,Attackers,Elimination
3Haven,11,"""2-9""",SEN,Attackers,Elimination
3Haven,12,"""3-9""",2G,Defenders,Defuse
3Haven,13,"""3-10""",2G,Defenders,Elimination
3Haven,14,"""3-11""",2G,Defenders,Elimination
3Haven,15,"""4-11""",SEN,Attackers,Elimination
3Haven,16,"""4-12""",2G,Defenders,Defuse
3Haven,17,"""4-13""",2G,Defenders,Elimination
3Haven,18,"""""",,,
3Haven,19,"""""",,,
3Haven,20,"""""",,,
3Haven,21,"""""",,,
3Haven,22,"""""",,,
3Haven,23,"""""",,,
3Haven,24,"""""",,,
